"ARL5A","ASCL3","DDIT3","DDOST","GUCY2C","LRRC8E","THAP5","THSD1P1","UBE2C"
0.7312,-0.2813,-0.5712,0.4289,-0.1955,-0.5563,0.4581,-0.6988,-0.1191
0.4973,-0.1663,-0.4262,-0.6852,-0.1999,-0.8683,1.3506,0.6196,-0.9022
0.9567,0.1514,-0.759,0.554,1.2034,-0.2412,0.6577,-0.2237,-0.4583
0.331,-0.2269,-0.1993,-0.5841,-0.1058,-0.4429,1.0934,-0.6498,-0.5093
2.0376,-0.2813,-0.2361,-0.5942,-0.1954,0.7093,1.4084,-1.0919,-0.6523
-0.3244,-0.2813,0.177,1.6604,-0.2007,-0.7659,-0.2863,-0.009,-0.386
1.221,-0.0339,0.0269,-0.3905,-0.1999,-0.5812,1.3089,-0.4351,-0.6842
1.1232,-0.1903,-0.6524,-0.0937,-0.1791,-0.4021,1.127,-0.4252,-0.6359
-0.7085,-0.2813,0.2966,1.1171,-0.2016,1.8489,-0.3283,-0.7136,0.4796
1.0542,-0.2156,-0.2817,-0.8249,-0.1925,-0.7181,0.5824,-0.041,-0.7073
1.3305,-0.016,-0.6947,0.4208,-0.1475,-0.4291,0.167,-0.7148,-0.2511
1.6944,-0.2813,-0.501,-1.1508,-0.1926,-1.1309,2.4183,0.408,-0.7951
0.1691,-0.2813,-0.4908,0.0157,-0.195,-0.4706,1.1657,-0.418,-0.6005
1.7736,-0.1146,-0.5384,0.1813,-0.1087,-0.9735,0.7413,0.7498,-0.0071
1.2431,-0.0618,-0.6466,0.1197,-0.1778,-0.5132,0.3963,-0.3487,-0.3921
0.406,-0.1864,-0.4695,-0.2355,-0.2019,-0.4177,-0.0562,0.4631,-0.5166
0.9497,0.4879,-0.2724,-0.0993,-0.2023,-0.2697,0.08,-0.5371,-0.6212
-0.1231,-0.0904,0.0619,-0.2399,-0.2009,0.6775,-0.5868,-0.6344,-0.763
0.5323,-0.198,-0.2549,-0.8388,-0.2018,-0.8687,0.0753,-0.3038,-0.0107
0.0118,0.4716,-0.406,-0.4876,-0.1953,-0.4727,-0.4728,-0.1698,0.1374
-0.9993,-0.1853,-0.6507,0.475,-0.1994,1.2263,-1.2376,-0.1143,1.243
-0.2148,0.2509,-0.5896,-0.7729,0.1342,-0.7635,-0.2253,0.8014,-0.4375
0.3716,-0.2813,-0.5415,-0.3241,-0.2033,-0.7197,-0.5291,-0.4494,-0.6345
-0.2067,-0.166,-0.3828,-0.1627,-0.1978,0.4049,-0.7368,-1.0008,-0.7126
0.7233,-0.2813,-0.1002,-1.2541,0.6282,0.322,-0.3926,0.0648,-0.0739
-0.3983,-0.2813,4.6373,0.3344,-0.1992,0.3598,0.464,1.5243,-0.2399
1.4821,1.209,-0.6935,2.2482,-0.1554,1.0795,0.839,-0.8968,-0.3323
2.0814,0.0794,-0.628,0.055,-0.1906,-1.0219,1.5634,-0.5954,-0.8875
3.0687,-0.1932,3.4064,-0.0653,-0.2021,-0.4921,-0.7878,-1.9024,1.2171
2.2254,-0.0999,-0.2896,0.5111,0.1283,-0.7661,1.4343,-0.7555,0.1383
1.725,-0.2813,-0.701,-0.0373,-0.1752,-0.366,0.5991,-1.4415,-0.7203
0.8675,-0.1871,0.1103,-0.4731,-0.1133,0.2729,-0.2028,-0.9091,-0.5802
3.1093,-0.1434,-0.7901,-0.8623,-0.2015,0.2569,0.5059,-0.4523,-0.8001
0.1283,-0.2813,-0.7338,0.7386,-0.1989,0.2047,-0.5779,-1.0783,-0.0276
1.3392,-0.2813,0.0829,-0.6638,-0.0488,-0.3781,0.4171,0.2512,-0.3224
0.3163,0.0226,-0.6991,1.5005,-0.2025,0.8034,2.1481,-0.4204,-0.4944
1.5424,-0.1858,-0.5607,0.1966,-0.1994,-0.9166,1.1056,-1.0093,-0.7447
0.3866,-0.1383,-0.5234,0.3687,-0.1981,0.5482,-0.1725,-0.517,-0.6607
1.1253,-0.2813,-0.5467,-0.3125,-0.2002,0.9604,0.9667,-0.6063,-0.5754
2.2578,-0.1325,-0.6464,-0.016,-0.2009,-0.5168,0.8111,-1.1174,-0.7802
1.8643,-0.2813,-0.5877,0.7217,-0.2013,0.986,0.4322,-1.5304,-0.1134
1.5634,-0.0932,-0.653,-0.8648,-0.1972,-1.0509,0.8603,0.4276,-0.8946
1.6336,0.0759,-0.3478,-0.5124,-0.1921,-0.378,1.2577,-0.51,-0.912
1.208,-0.2813,1.0849,-0.8105,0.3057,1.3531,0.8757,-0.1644,-0.1398
-1.1761,-0.2141,0.3454,-0.2056,-0.2012,0.2342,-1.0328,-0.0803,-0.4373
-0.1014,-0.2813,-0.2271,-0.7717,-0.1984,1.6022,-0.4778,-0.4302,-0.0344
0.4346,-0.2813,-0.6185,-0.4894,-0.2017,-0.319,0.1018,-0.8821,0.7414
-0.7877,-0.2813,-0.4163,0.9613,-0.2016,-0.3395,-0.8687,-1.5571,0.6338
-0.0467,-0.2813,-0.6636,0.986,-0.1502,-0.9079,-0.0203,-0.0549,-0.3173
-1.3029,-0.1977,2.2073,0.7502,-0.2035,-0.3677,-1.1917,-0.0275,1.2036
-1.0066,0.0913,-0.6327,-0.1588,-0.2019,-0.2794,-0.3275,0.2336,-0.5523
-1.1158,-0.2813,0.3899,-0.3656,-0.2027,4.3819,-0.8264,0.2133,1.0632
-0.487,-0.2813,-0.0309,-0.2839,-0.1962,0.2381,-0.6386,-0.0533,2.2742
-0.3369,-0.2813,-0.4265,-0.3882,-0.2005,-0.4898,0.1624,0.5477,-0.9719
0.0015,-0.0863,-0.6454,-0.7563,-0.1963,0.2214,0.8763,0.1762,0.866
