"C19orf71","C9orf72","DKK1","ELFN2","ERRFI1","GSN","IGF2BP3","IL31RA","MATN2","NCAPH","PRMT3","RAB11B","SOCS2","TMEM204","TMEM64","ZCCHC3"
-1.0358,-0.264,1.8855,-0.23,2.3101,-0.9657,2.0762,0.4231,-0.052,-0.1876,0.6504,-0.4794,-0.9588,-0.3302,-0.0056,0.3926
0.0127,0.6964,-0.4863,0.7117,0.5926,0.4556,-0.0067,-0.4125,-0.0441,-0.4537,-0.4956,0.2013,0.2945,1.4619,-0.2109,-0.6446
0.1692,0.0153,-0.0924,-0.6911,-0.7697,-0.836,0.8688,-0.2545,-0.6924,0.2542,0.1868,-0.1123,-0.3391,1.1719,-0.8355,0.197
-0.4882,-0.7792,0.509,1.01,2.2652,0.2665,1.0972,0.523,-0.7489,-0.8407,-0.4783,0.2976,-0.8611,-0.7659,-1.0015,-1.3408
-0.5674,-0.3837,-0.7042,0.1362,-0.1083,0.0637,0.0349,-0.4707,-0.3962,0.0191,0.004,-0.0097,-0.4946,1.7505,-0.485,-0.6723
-0.3734,-0.206,-0.3604,-0.5777,-0.3318,-0.107,-0.4088,-0.3684,0.3915,-0.2711,-0.5043,0.1947,-0.177,0.1844,0.1502,-0.2125
-1.0854,-0.3606,0.4144,0.0766,0.2365,-0.2538,2.9661,-0.557,-1.0025,0.5902,0.1917,-0.245,-0.7123,-0.5107,0.309,0.4143
-0.1635,-0.7512,-0.1509,-0.3207,-0.7985,-0.0798,-0.6699,-0.4024,-0.1618,0.4139,-0.3864,1.0154,-0.3175,-0.5276,-1.2046,-0.5798
-1.3001,-1.4284,-0.735,-0.1129,-1.2912,-1.4987,-0.8819,-0.5998,-1.0304,-0.6148,-2.258,1.487,-0.3639,-1.5596,-1.1436,-0.233
0.3725,-0.3279,-0.1484,-0.2211,-0.1159,0.5234,-0.9678,0.6434,-0.0824,-0.547,-0.7925,0.3892,-0.3504,1.4992,0.0186,-0.6745
-0.26,-0.8889,-0.7164,-0.3769,-0.915,0.3019,1.3888,-0.496,-0.3824,0.5146,0.1285,0.5905,-0.9733,0.1567,-0.6711,-0.0659
-0.7131,-0.9937,-0.705,-0.1027,-1.0981,0.2542,2.6989,-0.1392,3.0988,0.8607,1.1067,0.5423,-0.0954,-1.3284,-1.9315,-1.0664
-1.1689,0.3639,-0.6519,-0.3813,-0.9415,-0.6287,-0.8902,0.2848,2.5022,0.2167,0.1577,-1.7484,-0.2818,-0.8586,1.9072,-0.3956
-1.1413,-0.54,2.7111,-0.0666,1.2025,-0.3287,1.8338,-0.0287,0.056,0.3674,0.5581,-1.5842,-0.6317,-0.754,-0.3483,-0.1639
-1.1744,1.2975,-0.6227,0.1348,-0.402,-0.4815,-0.8349,0.2036,0.1793,-0.7726,0.6962,-1.4345,3.2633,-0.76,3.0488,0.5654
-0.8879,-0.2586,2.6982,1.4646,-0.4062,-0.6083,1.2976,0.052,-0.9937,0.431,-0.3623,-1.4905,-0.5927,-0.5222,-0.0508,-0.215
0.0553,1.8907,-0.6987,-0.5007,0.1353,0.9178,-0.9429,-0.5733,0.3591,-0.5556,-0.5172,-0.9465,1.2323,0.4629,0.5366,0.3313
-0.54,0.0775,-0.1473,-0.5422,-0.9586,-0.4488,-0.9629,-0.46,4.0288,1.2054,1.4684,-0.8595,-0.1387,-1.1485,0.5361,-0.3926
