"AKR1A1","ALDOB","CA2","CAB39L","CAMK2G","DLGAP5","EPHB6","FAM120A","GABPB1","IFNAR1","IGF2BP3","IL31RA","LRRN3","NCEH1","NGLY1","NSUN3","PLD6","PRLR","RTEL1","TXNDC15","ZBTB7C","ZNF584"
-0.1372,-0.2518,-0.542,0.2538,-0.355,0.347,-0.0466,-1.0262,-0.1953,-0.7837,-0.2125,-0.4253,0.3818,-0.3807,0.2085,-0.4287,-0.3806,-0.232,0.6608,0.3129,0.3899,-1.3341
-0.8599,0.5032,0.048,0.3667,-0.251,-0.9322,-0.0158,-0.0581,-1.047,0.8508,-0.719,-0.4907,0.0333,-0.0509,-0.0854,0.4998,-0.3891,-0.1223,-0.2434,-0.4554,0.1663,-1.0998
-1.3949,-0.2415,-0.6613,-0.4252,-0.2941,1.6101,-0.0366,-0.0451,-0.1051,-1.0639,0.7823,1.2802,-0.2838,1.3215,-0.2765,-1.0165,-0.4172,-0.2433,-0.1178,-0.9368,-0.3873,0.0797
0.0811,-0.2701,-0.7665,1.1669,-0.4493,1.0466,-0.4526,-1.2001,-0.1014,-0.3523,-0.1342,-0.3491,-0.2812,-0.9822,2.0586,-1.1112,-0.2806,-0.2571,1.1314,-0.8993,0.7201,-0.3884
0.1406,-0.1712,0.3775,-0.5027,-0.3025,-0.1667,-0.031,0.7935,-0.6194,-0.4026,-0.9832,-0.4331,-0.2601,-0.5791,0.8716,-0.1375,-0.4221,-0.2383,0.9228,-1.0595,1.3826,-0.0118
-0.6674,-0.1888,-0.579,1.6962,1.1498,-0.4609,-0.4303,0.3184,-0.3811,-0.0891,-0.1884,-0.3076,-0.3135,0.6155,-1.7665,-0.7928,-0.2923,-0.2276,-0.4379,0.2602,-0.7647,0.2314
1.3417,-0.0268,-0.2787,-1.3518,0.2342,1.5091,-0.2652,1.4458,0.6064,-0.4037,-0.8452,-0.5998,-0.417,-0.5988,0.7047,-0.3986,-0.7209,-0.2833,-0.317,-0.186,5.0457,-1.9238
-1.0304,-0.1485,3.8602,-0.5909,-1.0446,-0.4179,-0.5028,0.135,0.1368,0.9006,-0.9704,-0.5279,-0.2867,-0.7716,-1.136,-0.4231,0.1361,-0.1738,-0.25,-0.952,-0.1569,-1.769
0.4236,-0.2567,-0.491,-0.7617,-0.1836,-0.6102,-0.3462,-1.3697,-0.4821,-0.681,-0.7766,-0.5446,0.3247,-0.7265,-0.3429,-1.2072,-0.1732,-0.2381,0.3471,1.4147,-0.5462,0.3816
1.8905,0.8683,2.0814,-1.1192,0.0598,0.4583,-0.5867,2.9816,-1.0274,0.0222,0.63,-0.5397,-0.3537,-0.2188,0.2345,-0.6173,-0.3383,-0.0193,-0.7467,-0.8513,0.1244,-0.7611
2.5264,0.1404,0.715,-0.5843,0.0296,-0.5426,-0.1884,-1.0153,-0.6958,-0.3737,-0.3702,-0.3394,-0.211,0.2117,0.2765,-1.345,-0.249,-0.1639,-0.1437,-0.3881,0.241,1.124
-0.7688,-0.1933,-0.5384,-0.6505,-0.6757,0.1805,0.8503,0.1031,0.0936,0.3128,1.402,-0.4258,-0.3071,-0.4297,-0.4263,-0.0041,-0.1632,-0.2396,0.5987,-0.4242,-0.5337,-0.2756
-0.5369,-0.2233,-0.5332,-0.5635,-0.527,0.7213,-0.0452,-0.7769,0.4779,-0.8986,1.592,-0.4101,-0.3565,-0.2335,0.6154,-0.0737,-0.3741,-0.2655,0.8949,-1.201,0.6115,-0.0401
1.3555,-0.018,-0.4348,-0.0785,-0.1691,0.722,0.0316,-0.5283,-0.693,-0.3078,-0.367,2.9224,-0.2315,0.2495,0.2839,0.1555,-0.4,-0.2489,-0.2011,-0.5619,0.0188,-1.1654
1.1411,-0.2456,-0.7808,0.4897,0.7043,3.4715,0.267,1.7199,-0.616,0.0776,-0.9029,3.5381,-0.1482,-0.0738,-0.7082,-0.3244,-0.3914,-0.2411,-0.6478,-0.4572,0.4811,0.0256
2.5698,0.2219,0.0453,-0.0737,-0.1057,0.5622,-0.0262,-0.6791,-0.2528,0.5541,-0.0407,0.2424,-0.1772,-0.5107,-0.0167,2.4037,-0.4064,-0.2547,-1.1956,1.5041,-0.5566,3.1929
-0.0658,-0.1386,-0.6528,-0.7993,-0.2324,-0.2472,-0.414,-0.4275,-0.2326,-0.3282,-0.5436,0.7542,-0.2654,-0.4429,-1.4522,0.5207,0.9922,-0.263,-0.0687,-0.4353,0.0966,0.2916
-0.7572,-0.2641,-0.4938,-0.0662,-0.3784,0.708,-0.2692,-1.1787,2.0131,0.1027,2.0762,0.4231,-0.3011,-0.3908,1.782,0.8295,-0.2821,-0.1847,-0.4685,0.3788,0.2772,1.951
-0.3896,-0.1835,-0.2884,-0.3177,-0.1596,-0.3799,0.1804,-0.5955,-0.299,-0.2097,-0.0067,-0.4125,0.1798,-0.8019,0.0607,-0.8979,-0.0473,-0.1131,0.6459,-0.0593,-0.4252,-0.7784
0.5236,-0.1615,0.4162,-0.4694,-0.1058,0.1331,-0.3936,-0.3475,-0.0641,-0.4733,0.8688,-0.2545,-0.2809,0.2341,0.2597,-0.7335,-0.5355,-0.153,0.9527,-0.5085,-0.3813,1.1292
