PatientID,SMAGP,TAP2,TMEM48,UBE2H,USP20,UTP23,WDR8,WHSC1L1,WNT7A,ZBTB46
TCGA-2J-AABU,-0.7011,-0.3863,0.5716,0.5109,-0.3978,-0.2645,0.4116,-0.1015,0.4158,-1.0108
TCGA-2J-AABV,0.4344,-0.3316,-0.7417,-2.0089,0.4622,-0.7402,0.0497,1.0253,-0.6626,-1.1857
TCGA-2L-AAQA,2.0174,-0.3075,0.0884,0.7304,-0.6893,-0.6778,-0.9941,0.3525,0.0792,-1.2743
TCGA-2L-AAQE,0.3616,-0.3113,0.8922,0.6904,0.1761,0.9633,0.5547,-0.72,2.1294,0.8907
TCGA-2L-AAQI,1.0266,0.5868,0.5352,0.0147,-0.8662,0.4508,-1.055,1.5265,1.9478,-0.2561
TCGA-2L-AAQJ,1.7745,0.4336,-0.3599,1.3131,-0.5904,0.0909,-0.6428,0.1008,-0.5836,-0.119
TCGA-2L-AAQL,0.988,-0.3598,-1.2751,-0.5045,0.4528,-1.6188,1.0837,-0.4915,0.454,0.0067
TCGA-2L-AAQM,-1.6141,-1.4042,-1.5806,-1.3532,3.1216,-1.6815,0.4107,-1.1701,-0.8631,-0.19
TCGA-3A-A9I5,0.0312,-1.2411,-1.0298,-1.9501,0.2208,-0.3699,-0.0757,-0.8349,-0.8611,-0.6391
TCGA-3A-A9I7,-0.4582,0.327,-0.614,0.0449,-0.1351,-0.4145,-0.3083,-0.3365,0.363,-0.5334
TCGA-3A-A9I9,0.297,-0.569,-0.9857,-0.8021,0.0585,-1.0314,3.6604,-0.847,0.7417,-0.5008
TCGA-3A-A9IB,0.2442,0.7613,0.0051,0.5948,-0.9138,-0.1732,-0.078,-0.7872,1.1297,-0.1862
TCGA-3A-A9IC,-0.4277,-0.2848,-0.1444,0.0936,-0.1591,-1.3059,0.8198,0.04,0.3938,-0.0281
TCGA-3A-A9IH,0.3308,-0.2336,0.4127,1.3816,-0.4112,-0.5017,-0.3063,-0.6673,3.0219,0.4632
TCGA-3A-A9IJ,-1.6113,-1.2434,-1.6256,-2.3056,5.3352,-0.85,0.0884,-0.5853,-0.8631,-0.5426
TCGA-3A-A9IL,-1.5101,-1.1916,-1.2684,-1.097,5.4762,-0.1262,0.0324,-1.1622,-0.8001,2.6482
TCGA-3A-A9IN,-1.3706,-1.2141,-1.3597,-0.866,4.1971,-0.849,0.4767,-0.8311,-0.8612,2.1832
TCGA-3A-A9IO,-1.5462,-1.0863,-1.0124,-0.4935,0.0427,1.6467,-0.0085,-0.4904,-0.8462,2.1531
TCGA-3A-A9IR,-1.5019,-0.9794,-1.4927,-0.097,2.8708,-0.6734,-0.769,-1.0914,-0.8608,2.9851
TCGA-3A-A9IS,-1.5033,-1.4881,-1.2472,0.7908,2.8371,1.4906,-0.5872,1.8332,-0.8631,3.8763
TCGA-3A-A9IU,1.2579,-0.1681,-0.5394,0.3858,0.0968,-0.4539,0.7836,0.4001,-0.1792,0.8204
TCGA-3A-A9IV,-1.6348,-1.4155,-1.0248,3.1185,1.8406,-0.8302,-0.4604,-0.9528,-0.8631,0.6384
TCGA-3A-A9IX,-0.4549,-0.6388,-0.0655,-0.177,0.1842,0.6172,-0.8485,-0.2031,-0.2727,0.8787
TCGA-3A-A9IZ,1.4162,-0.1241,1.0361,1.7507,-0.957,-0.1707,-0.5019,0.1778,-0.0042,-1.189
TCGA-3A-A9J0,0.1701,-0.4265,1.0552,-0.2309,-0.9904,-1.6229,0.4166,-0.9333,-0.3943,-0.8111
TCGA-3E-AAAY,0.0704,0.5759,-0.0222,-0.7902,-0.0097,-1.0436,0.8176,-0.2929,-0.4128,0.6637
TCGA-3E-AAAZ,1.1112,-0.5317,0.2465,-0.203,0.071,0.3899,-0.4459,0.3534,0.921,-0.9617
TCGA-F2-6879,1.3422,0.054,0.9269,0.2634,-0.4904,0.9467,-0.9776,-0.2774,-0.7747,-1.5474
TCGA-F2-6880,-1.3926,-1.0424,-0.298,0.405,0.3342,0.1223,-0.0827,-0.2296,-0.827,-0.8429
TCGA-F2-7273,-0.9615,-0.2293,0.2718,0.5843,-0.4883,0.5785,-1.6296,0.6044,-0.685,1.0802
TCGA-F2-7276,-0.9906,-0.3425,0.2106,0.5208,-0.4737,1.1033,-1.0503,0.0577,-0.1374,0.5696
