"SS18L2","SLC30A9","SLAMF7","PITHD1","NDC1","ALDH18A1","PLPP1","SLC44A1","TOP2B","TM9SF3","AACS","TESC","UNC13D","SIRT1","ABL1","SNPH","CRISPLD2","FOXF1","PRSS33","DKK4","CCL24","SFRP4","PKD2L1","LAMTOR3","MLEC","CILK1","TUSC2","SF3B1","FARSB","ICMT","ELAPOR1","SCAMP3","AKR1A1","STX12","EPHX2","NUDT10","PLP1","ATG4C","HNRNPH2","SAT1","ACE2","MAP3K10","SLC35D2","ADGRE3","SH3BP5","PPP1R1B","MATN2","SARAF","UBQLN1","GLS2","IGF2BP3","SLC31A1","GPAT3","MTMR6","SUOX","NABP2","SLAIN1","TRIM65","IGFBP4","IL19","WDTC1","PRUNE1","SELENBP1","ARNT","CTDSPL","LRIG1","DOCK11","RSU1","ADRA2A","CRIM1","RILPL2","QDPR","SPARCL1","RPIA","THY1","C16orf74","MAGED4","ACSS1","PXYLP1","BRPF1","ZFYVE9","TMED6","ICOSLG","UBE2Q1","COX7A1","AQP5","PMVK","SNHG16","ZNF589","WDR82","SCRG1","SVEP1","NDRG2","PKD1L2","MFAP4","URM1","ZNF528","NUDT8","ENTPD3","APEX2","CRTAP","RNF34","LRRN3","MSL2","DES","KCNE3","MAGEF1","SPTY2D1","AMIGO1","SYNM","FAM43B","ATP6V0A2","NDUFA4L2","LEMD1","NKRF","ENTPD5","ZDHHC9","MPZL1","MAN1A2","FAM3D","TUSC1","RN7SKP72","RN7SKP250","SNORA38","RN7SKP76","SAMD13","HSPA1A","RNVU1.7","IGLV6.57","IGLV2.23","IGLV2.14","IGLC1","IGHA2","IGHA1","IGHV3.15","IGHV3.49","LTC4S","TMEM167B","GPR89P","RPS27AP11","SIRPAP1","SEC63P1","LINC01713","LINC02038","PFN1P3","CYCSP52","RN7SL507P","RN7SL709P","IGKV1D.16","IGKV3.11","INMT","RN7SL504P","RN7SL299P","RN7SL278P","RN7SL679P","MARS2","OR7E28P","ATXN7L3B","DENND11","TMEM238L","LINC00667","RN7SL664P","RN7SL451P","RN7SL300P","SETBP1.DT","MIR497HG"
3.43,15.86,0.45,10.66,5.42,17.38,8.74,24.26,13.91,50.75,6.98,100.08,14.3,4.33,12.38,0.49,23.77,1.45,0.13,0.02,2.2,1.36,0.1,14.27,22.75,2.56,3.72,72.41,9.06,19.1,0.96,13.6,26.76,10.11,3.15,0.25,0.21,3.02,20.19,202.42,0.14,1.81,8.79,0.8,15.17,2.3,3.3,86.15,40.3,0.69,6.52,11.64,3.68,9.14,3.66,7.95,0.66,4.42,79.69,0.01,6.85,5.01,6.06,13.5,8.08,9,4.62,25.78,2.83,20.89,4.45,4.7,51.61,4.2,25.05,3.54,2.29,1.98,2.87,3.02,5.04,0.11,2.37,13.62,7.49,3.42,5.85,53.36,1.78,11.75,1.92,1.72,11.98,1.86,9.48,9.25,7.53,1.31,0.36,3.36,34.4,9.62,0.18,8.37,2.71,5.82,12.17,13.36,0.29,1.89,0.2,9.49,18.25,14.19,2.88,2.43,8.96,42.94,11.4,0.19,2.13,0.33,0.82,16.45,0.81,0.29,141.91,1614.26,0.25,1.81,2.68,11.19,1.96,35.58,1.4,0.1,0.16,13.38,0,0.1,1.05,0.15,0,0.4,0,0,0.83,1.37,0.06,8.79,4.18,0,0.53,1.31,23.69,1.52,0.05,12.11,5.45,0.01,9.32,0.95,1.22,2.41,0.06,0.81
4.37,13.78,1.38,16.53,10.19,46.46,10.77,36.32,17.01,124.54,9.46,146.29,5.28,7.55,7.46,0.4,34.51,3.26,1.8,6.02,50.95,61.3,0.02,15.46,32.17,5.77,5.06,84.98,10.77,18.9,29.09,32.89,48.35,9.61,4.19,0.26,0.13,2.66,33.43,285.41,130.26,3.39,23.78,0.1,6.07,92.93,9.13,114.3,24.77,0.38,0.48,5.6,4.21,12.86,4.21,7.3,0.69,3.98,61.89,0.13,7.06,8.8,45.98,13.49,34.17,17.63,3.28,26.1,20.83,38.85,4.55,3.89,42.36,7.76,19.58,0.24,8.3,10.62,3.05,3.05,9.87,0.43,6.65,36.29,5.47,19.57,22.79,50.03,1.6,17.42,1,5.83,76.36,0.11,15.34,10.14,3.4,6.95,5.39,5.96,34.05,9.49,0.23,9.4,0.5,20.35,17.22,11.85,3.8,2.75,0.22,4.11,4.69,14.44,4.2,6.43,17.25,121.92,11.6,13.17,3.15,0.13,0.41,6.34,0.64,1.65,81.78,1166.9,4.45,4.94,13.01,45.85,9.54,73.06,7.29,2.74,1.78,14.27,0,0.04,0.01,0.34,0.04,3.18,0,0,0.85,2.16,0,15.81,12.85,0.33,0.21,0.8,14.86,3,0.03,20.13,28.64,6.27,19.43,1.58,1.43,1.27,0.28,1.39
12.35,18.3,2.25,13.15,15.89,36.52,14.57,26.53,25.75,112.86,12.92,74.13,17.1,6.2,8.28,1.19,23.56,2.86,0.43,2.23,12.82,26.42,0.08,14.16,48.84,4.69,11.21,93.69,13.44,37.56,14.24,21.3,70.24,18.92,4.27,0.2,0.57,2.5,32.54,161.69,3.72,3.65,10.33,0.36,8.66,45.66,21.16,97.42,20.42,1.41,9.18,7.51,1.7,15.5,6.89,10.43,2.94,6.61,89.66,0.06,11.53,7.28,32.22,13.79,26.31,9.61,3.2,21.61,6.35,28.14,12.34,7.79,38.02,8.26,18.93,1.11,2.56,6.78,4.48,8.25,10.15,0.21,3,20.75,5.18,91.39,9.18,26.93,4.29,23.34,0.34,3.69,20.07,0.7,12.25,11.12,5.55,6.03,0.98,11.73,30.83,14.41,0.32,9.12,0.94,25.96,15.49,15.47,2.97,1.13,0.21,7.25,2.37,16.67,6.79,5.95,24.24,88.06,16.79,40.78,2.44,0.12,0.53,19.41,0.32,1.48,173.83,1418.25,4.31,6.35,36.99,51.51,45.57,138.74,15.72,3.41,0.51,16.93,0.1,0,0.12,0.19,0,1.16,0.08,0,1.42,0.82,0.81,23.97,8.85,0.44,0.75,0.95,16.07,3.77,0,26.15,10.23,5.75,16.19,0.57,0.93,1.43,0.2,1.51
4.12,24.11,1.41,9.58,6.42,13.49,7.83,24.24,37.16,99.84,7.18,34.03,13.65,6.84,8.51,0.35,17.66,1.56,2,0.46,7.05,7.01,0.13,23.95,22.96,3.37,3.11,107.41,11.51,13.04,1.16,10.3,22.76,18.29,6.4,0.25,0.17,3.56,32.16,188.11,7.02,1.71,12.61,0.3,7.83,4.16,6.34,128.83,27.86,0.54,9.93,7.06,6.85,6.57,5.74,7.79,0.71,2.53,49.31,0,6.26,5.19,5.27,12.94,9.68,5.71,3.59,21.86,1.54,27.92,4.25,5.74,19.97,5.56,25.3,2.42,1.54,1.47,4.29,3.89,6.07,0.1,1.73,14.42,3.03,30.19,5.63,24.06,1.96,14.24,0.16,2.47,9.08,3.69,7.32,5.66,6.98,1.32,0.54,3.49,22.4,12.46,0.1,8.5,1.88,3.19,11.16,11.82,0.24,0.94,0.13,6.4,0.61,16.22,4.66,5.96,16.61,52.51,9.51,21.97,1.33,29.62,1.3,110.37,3.45,1.62,157.6,3756.95,0.15,2.74,3.11,23.65,8.53,26.57,6.34,1.83,0.35,16.42,0,0.07,0.4,0.12,0.03,0.24,0,0,8.05,139.27,0.27,3.74,3.04,0,0.42,12.69,18.1,1.25,0.14,19.41,5.81,1.24,8.68,78.3,71.77,4.62,0.13,0.52
0,0.55,0.72,0.93,0,0.13,17.53,1.34,0.63,2.74,27.44,0.53,4.81,0,0,3.79,3.55,0.17,1.74,0,0,3.63,0,0.5,1.69,0.41,0,0.9,1.55,8.8,2.79,0.6,12.18,0,0.81,0,2.35,0,1.15,3.29,0,0,0,0,20.69,12.85,5.93,0,0,7.18,3.7,29.22,0,0.07,12.69,15.96,0,4.61,0.58,0,0,0,0,3.78,0.36,3.36,0,2.22,0,3,0.3,1.15,4.08,0,0.36,0,0,2.55,0.24,0.49,0.26,3.14,4.75,0,4.2,1.22,0,6.45,36.4,7.26,5.54,1.02,14.97,3.16,1.9,0,8.18,0,1.77,0.39,1.43,27.54,9.4,0.19,0,2.57,1.54,1.7,0,0.32,0,10.99,5.29,0,0,25.01,0,2.71,1.09,0,5.02,0,0,0,0,0,3.3,2.32,0,0,0,1.02,0,0,0,0,1.63,1.83,0,0,0,4.15,0,0,13.91,1.6,0,0,0,0,20.34,0,0,0,0,0,0,0,2.53,2.44,1073.57,0,0,0,0,46.15
6.43,18.74,1.87,15.56,6.44,38.37,8.53,48.53,18.97,92.57,11.69,27.06,9.29,3.79,11.93,0.23,23.58,1.52,0.04,1.04,1.61,16.66,0.09,13.89,32.71,4.82,6.3,88,10.75,25.59,3.04,18.57,46.33,12.7,2.16,0.09,0.04,1.38,26.34,218.23,0.97,1.59,17.5,0.41,8.45,40.64,12.72,51.67,44.7,0.32,10.74,8.69,4.19,7.06,4.75,8.83,1.47,4.41,85.38,0,15.37,7.23,25.48,12.96,14.67,7.01,2.53,15.8,4.33,36.47,5.76,6.18,25.91,7.18,19.09,0.43,3.46,7.66,4.8,5.5,4.89,0.16,4.53,17.55,4.12,23.9,9.37,20.71,1.65,24.26,0.2,3.06,24.4,0.29,13.36,18.34,5.08,6.07,0.8,4.92,27.45,11.27,0.2,7.44,0.39,16.2,9.67,11.83,1.03,0.54,0.27,6.77,5.94,4.86,2.56,11.44,17.13,66.24,9.57,52.48,1.61,0.46,0.5,11.98,0.47,1.59,91.84,533.54,0.88,3.72,13.82,20.27,7.42,34.73,3.57,1.09,0.6,14.74,0.11,0.09,0.02,0.08,0.02,1.07,0,0,1.27,1.96,0.51,10.89,5.96,0.19,0.32,0.53,18.06,1.83,0.05,23.96,8.23,6.36,8.47,0.88,1.57,2.39,0.12,1.03
12.46,49.93,12.22,17.57,26.29,22.32,13.03,18.28,39.49,79.99,13.41,4.39,22.33,3.65,4.36,0.62,1.58,0.03,0.17,0.06,0,0.04,0.04,58.22,20.94,1.47,6.46,93.14,21.69,29.67,0.36,12.71,44.59,16.36,0.15,0,0.01,4.83,34.38,443.16,1.74,1.52,13.04,0,5.57,0.2,14.83,73.85,26.42,0.11,24.62,8.18,14.78,18.71,3.89,8.98,3.06,2.7,20.02,0.02,3.89,7.46,2.06,7.28,17.41,1.95,0.35,11.42,0.16,6.54,4.11,6.08,0.09,5.93,0.09,11.37,0.01,4.77,4.88,3.43,2.94,0.06,0.55,12.09,0,2.71,5.73,36.74,0.71,12.59,0,0.04,18.33,1.84,0.01,7.63,2.5,3.88,1,5.07,25.93,15.86,0,7.26,0.14,9.2,14.81,20.94,0.26,0.1,0.01,5.29,0.23,9.22,6.68,3.98,9.28,35.7,8.48,0.82,0.88,6.12,3.59,24.28,1.46,2.57,73.05,2103.78,0,0,0,0.04,0.02,0.04,0,0,0.27,13.81,0.19,0.11,0,0.11,0,0.32,0,0,2.56,29.3,0.05,0,0.16,6.55,2.18,4.18,21.63,2.26,0,19.43,2.64,0.02,4.47,6.49,17.6,5.2,0,0
4.66,24.01,6.94,12.6,9.58,19.9,41.91,34.54,20.2,51.05,14.61,37.41,7.6,5.2,14.34,0.83,41.44,6.05,0.89,0.01,0.37,25.25,0.41,20.51,50.54,5.28,5.77,78.72,6.76,42.17,3.31,23.32,81.62,12.2,4.5,0.2,0.33,2.72,34.56,203.5,3.6,2.56,13.44,0.35,9.14,5.17,15.02,116.71,26.53,0.22,15.39,8.88,3.15,8.89,4.82,8.88,2.2,4.59,153.87,0.03,8.58,7.33,9.12,15.87,22.65,8.82,4.72,27.24,2.46,37.68,6.59,6.51,58.55,5.31,63.4,1.76,4.4,5.95,6.03,4.15,6.57,1.08,6.94,21.77,9.28,26.14,14.81,27.77,1.93,21.92,0.28,10.58,23.79,1.07,24.57,12.35,7.76,4.34,0.47,5.58,46.59,11.64,0.38,9.94,2.21,49.9,19.47,18.17,2,2.3,0.4,6.48,3.98,3.75,3.18,24.83,15.05,92.35,14.74,6.46,3.27,0.08,0.67,10.85,0.39,1.84,138.1,523.95,1.15,251.68,80.21,265.57,13.58,38.12,160.59,6.17,1.32,17.33,0.16,0.05,0.53,0.39,0.13,3.52,0,0,1.2,1.23,0.27,126.07,21.3,0.15,0.31,0.77,13.46,1.8,0.06,33.42,6.34,0.15,9.78,0.8,0.86,1.71,0.23,1.36
3.31,26.78,5.43,11.29,5.92,27.32,12.76,84.55,22.73,103.45,6.72,35.33,13.09,7.16,16.21,0.53,48.82,2.23,0.09,0.35,2.2,48.49,1.11,28.02,26.06,8.1,4.16,77.96,10.95,19.64,2.02,21.04,40.91,19.99,3.29,0.46,0.11,3.65,34.49,213.21,2.1,2.4,26.48,1.77,7.25,16.65,8.69,126.39,38.56,0.2,8.69,11.86,2.26,12.08,4.61,8.28,3.17,5.13,81.78,0.84,6.2,8.93,25.13,18.46,9.97,10.14,7.07,30.13,6.45,18.23,5.98,6.19,81.4,4.2,52.16,0.09,5.01,2.59,5.45,3.82,5.29,2.98,3.89,30.04,6.15,0.45,11,37.74,1.71,19.45,1.4,4.38,20.18,0.29,12.55,15.21,4.96,2.25,2,4.63,43.69,11.95,0.28,11.02,0.81,14.3,8.75,12.14,0.41,1.17,0.29,7.98,2.72,2.75,4.45,10.76,13.21,117.13,11.37,12.24,3.5,0,0.28,6.89,0.14,2.12,142.02,1390.96,0.09,0.5,1.58,2.12,1.88,5.94,0.72,0.29,0.57,11.82,0.05,0.05,0,0.48,0,2.48,0,0,0.68,0.84,0,4.09,12.54,0.09,0.57,0.38,14.5,2.39,0.03,22.08,6.55,1.15,5.11,1.25,0.99,0.7,0.21,0.67
9.29,27.86,1.77,10.47,16.23,15.23,28.94,25.08,40.32,89.12,7.55,82.99,19.48,8.23,9.95,0.71,22,2.58,0.29,4.23,2.45,32.25,0.17,24.61,24.47,4.18,7.3,124.59,25.24,19.84,9.72,17.08,37.63,15.03,4.35,0.05,0.08,4.05,25.55,158.19,4.87,2.52,15.1,0.49,9.58,22.12,18.25,155.85,25.12,0.59,24.06,10.39,1.32,8.57,5.97,9.79,2.23,8.3,80.76,0.03,5.23,8.33,14.64,19.66,34.86,14.81,6.71,18.09,5.26,44.58,5.02,4.61,35.34,6.49,22.71,2.84,4.27,7.17,5.73,5.4,6.68,0.21,2.97,23.46,2.38,26.4,13,63.53,3.47,27.08,0.36,4.94,27.75,0.77,15.83,7.97,3.21,2.98,6.71,3.81,40.09,10.25,0.35,11.62,0.14,18.03,15.31,11.69,1.76,3.2,0.2,8.24,2.03,9.64,3.61,6.07,10.3,115.17,17.6,7.28,1.78,0.88,1.19,17.87,0.59,2.74,30.37,1810.71,0.32,1.59,4.91,6.91,3.71,15.57,0.58,0.5,2.51,18.65,0.02,0.16,0.66,0.32,0.07,0.62,0,0,0.27,1.76,0.33,2.17,8.33,0,0.28,0.4,9.04,2.1,0,17.88,12.67,0.27,8.91,0.77,1.44,2.3,0.17,1.12
5.49,18.03,2.75,12.37,8.79,21.43,16.44,18.67,20.1,53.2,7.98,18.05,18.72,3.56,15.98,0.93,56.87,5.78,0.27,0,4.2,16.11,0.22,19.96,20.94,3.68,3.72,95.72,15.42,24.05,1.46,15.35,39.1,13.64,1.2,0.68,0.64,2.52,33.13,251.62,2.73,1.54,8.04,0.44,10.97,2.47,5.06,95.48,27.27,0.2,8.64,6.79,3.13,8.53,2.99,8.13,1.08,3.78,139.12,0.04,7.16,5.4,4.67,11.03,6.71,15.75,4.98,19.86,3.36,20.52,4.41,4.91,71.1,2.96,62.48,6.94,3.11,2.98,3.36,3.19,4.37,0.09,2.67,14.11,8.5,7.34,8.66,37.12,1.22,18.88,2.36,3.65,9.29,0.83,27.49,14.15,9.74,2.49,1.31,3.91,36.39,9.04,0.09,5.86,349.85,7.33,9.24,11.65,0.44,26.19,0.22,4.3,1.77,2.59,3.2,4.74,12.11,68.31,10.75,10.57,2.14,0.16,0.4,12,0.15,0.58,76.83,1065.65,0.69,1.66,5.84,10.35,9.3,27.69,3.16,1.43,0.38,12.56,0.14,0,0.3,0.33,0,0.12,0,0,0.65,1.31,0.52,7.78,3.13,0.4,0.52,1.47,17.53,1.43,0,16.86,2.97,0.18,8.82,0.94,1.13,1.94,0.04,0.86
9.44,27.14,4.99,17.95,8.34,29.43,9.93,47.94,41.63,108.66,5.81,38.83,11.43,6.26,15.87,1.07,22.94,1.57,0.7,0.71,1.12,54.02,0.18,17.43,29.88,8.28,8.5,94.85,14.78,26.98,9.8,34.18,44.72,17.49,5.06,0.36,0.23,2.2,32.29,155.39,0.77,1,22.95,0.24,5.9,68.87,7.39,128.62,49.12,1.02,9.48,9.74,1.04,12.26,8.85,22.04,13.15,7.93,76.29,0.14,11.35,13.7,11.87,17.81,21.97,35.6,5.48,13.01,6.36,31.77,4.9,6.06,60.08,9.88,21.93,0.2,3.18,5.49,5.1,5.79,4.12,4.51,4.14,42.24,5.27,97.59,15.13,71.17,1.96,33.94,0.8,6.43,24.01,0.37,14.51,21.84,5.18,3.8,2.87,4.42,39.91,9.27,0.26,10.88,1.07,13.35,11.25,11.71,1.99,1.45,0.18,5.36,1.36,5.13,5.5,4.75,13.8,124.47,13.55,17.09,5.85,0.24,0.64,9.33,0.42,1.61,57.49,928.97,4.54,50.38,144.42,52.63,179.09,347.43,37.64,9.06,1.06,13.2,0.16,0,0.66,0.45,0,1.32,0,0,1.06,0.36,3.72,63.88,9.77,0,0.38,0.83,8.44,2.79,0.05,18.68,10.97,6.69,9.07,0.57,0.35,0.98,0.2,1.09
14.54,33.99,5.35,22.16,15.04,34.16,18.99,49.57,28.54,165.57,27.12,167.55,4.79,7.38,13.67,0.19,6.62,1.02,187.52,8.8,54.74,3.25,0.02,22.36,52.87,16.98,13.25,88.16,15.3,29.6,114.44,22.41,75.88,26.64,7.24,0.02,0,6.13,41.78,131.95,40.39,2.74,21.39,0.87,12.48,124.18,38.7,106.57,33.93,1.61,0.86,16.26,2.28,12.87,7.67,18.66,1.37,8.34,82.62,0,13.33,24.45,101.36,24.69,33.8,17.91,5.97,21.54,95.67,41.64,14.8,7.13,6.98,15.51,1.56,0.16,0.04,16.59,9.25,5.57,9.11,0.39,3.78,58.93,0.48,93.99,24.59,95.7,1.48,24.68,0.04,0.17,63.55,0.11,1.64,16.49,5.58,4.94,10.69,10.92,33.63,19.88,0.01,9.95,0.02,166.92,18.48,13.67,2.88,3.7,0.04,8.85,29.2,5.81,8.99,16.32,32.2,128.02,7.96,109.99,3.28,14.8,34.89,23,5.91,5.47,133.31,804.43,0.09,0.16,1.2,3.26,2.87,4.63,0.18,0.18,0.99,23.78,0.17,0.35,0.79,0.23,0.24,3.41,0,0,8.9,45.45,0,0.51,1.76,9.18,142.64,5.46,198.6,6.25,0,101.08,10.51,8.09,24.84,2.49,294.1,10.31,0.05,0.57
9.75,27.44,2.82,14.31,10.19,21.23,11.17,28.98,23.18,124.77,7.08,45.99,26.34,8.38,9.99,0.41,21.02,2.51,0.04,0.04,6.25,19.54,0.01,27.78,23.04,3.76,6.71,94.54,19.28,21.95,1.8,15.09,21.38,15.15,1.86,0,0.22,2.33,37.04,217.05,3.49,6.38,24.46,0.15,8.36,3.75,4.16,88.2,36.62,0.35,47.95,8.17,2.27,7.46,5.1,14.99,1.33,5.58,43.59,0.06,6.5,4.99,2.68,10.46,18.15,4.6,3.95,30.17,2.01,30.61,8.04,5.95,54.55,5.46,20.06,14.11,0.88,4.14,3.06,4.24,4.36,0.11,1.68,16.05,2.37,5.46,7.38,68.08,2.48,20.83,0.24,3.07,16.05,2.74,12.04,13.42,8.58,3.56,0.8,3.96,30.97,14.49,0.45,10.32,0.45,5.12,7.66,16.23,0.43,1.02,0.13,6.04,1.59,9.75,5.96,4.5,22.02,49.25,9.45,1.64,1.82,19.76,26.2,16.19,8.59,1,66.11,1883.9,0.97,4.97,29,17.75,25.35,76.85,4.42,1.92,1.12,15.11,0.04,0.71,0.23,0.44,0,0.47,0,0,6.93,38.95,0.27,6.84,4.53,7.82,145.15,2.73,120.72,2.45,0.08,26,6.78,0.19,6.22,2.22,201.09,4.7,0.15,0.35
10.91,28.41,3.08,18.07,13.24,26.58,23.97,58.34,41.77,126.26,7.25,18.72,7.29,8.12,20.24,1.49,43.59,7.7,0.17,0.22,5.84,61.47,0.12,28.17,31.77,7.07,11.24,97.51,16.7,34.95,2.28,19.09,76.22,24.82,6.81,0.76,1.75,2.7,37.98,262.41,1.64,2.71,39.13,0.21,8.41,50.85,18.9,130.08,57.23,0.27,15.04,14.91,3.53,10.15,6.02,10.72,9.18,7.63,88.13,0.02,13.35,7.94,38.91,14.2,30.78,36.81,6.93,23.53,15.24,37.74,6.82,6.18,156.84,8.33,43.96,0.14,1.1,8.25,6.06,6.02,6.97,0.25,5.9,23.03,9.07,30.71,10.74,54.03,2.53,35.75,4.73,8.2,26.49,0.19,48.88,31.52,4.96,6.46,7.52,6.08,36.23,13.34,0.57,13.62,896.01,41.36,17.75,10.22,2.45,83.86,0.57,6.23,1.61,16.33,4.69,8.32,16.74,100.56,18.4,122.3,2.88,0,0.3,3.03,0.68,3,39.75,554.73,1.59,1.23,7.37,9.33,10.61,17.84,1.69,0.74,1.23,23.41,0,0,0.21,0.31,0.07,4.41,0.16,0,0.68,0.84,0.12,1.85,16.5,0.37,0.56,0.42,9.93,2.9,0.08,21.75,15.44,5.25,7.99,0.73,1.42,0.93,0.23,2.02
10.82,28.09,3.06,8.66,10.05,27.86,13.29,33.43,35.93,120.24,13.43,61.11,16.26,6.06,13.56,0.62,23.49,2.96,0.05,0.35,1.94,13.55,0.38,28.1,34.63,6.71,7.32,108.49,29.59,13.4,11.01,19.4,40.76,15.24,3.43,0.22,0.16,3.32,49.46,216.81,4.34,2.79,25.75,0.09,6.95,68.93,11.22,97.34,42.84,0.64,11.68,12.47,3.93,12.31,4.55,9.8,5.34,5.65,78.47,0.04,6.88,6.09,18.27,12.42,20.49,17.52,3.62,19.36,4.76,29.55,6.54,5,40.82,6.68,15.78,1.76,5.11,7.31,5.59,4.4,6.69,1.52,3.57,27.24,2.93,35.55,10.57,51.68,1.95,25.02,0.48,2.7,23.93,0.34,8.32,17.71,10.53,2.68,3.71,4.47,27.9,14.98,0.07,13.13,0.26,19.36,20.48,12.61,1.06,1.3,0.23,6.01,5.65,20.62,5.84,6.02,19.36,75.07,15,40.74,3.07,15.18,28.94,30.97,9.08,3.3,123.7,1020.89,0.66,0.97,1.89,4.16,6.88,22.27,0.45,0,0.61,17.95,0.06,0.56,0.11,0.53,0,1.53,0,0,7.91,50.37,0,1.17,3.91,9.8,132.7,2.8,131.34,4.05,0,31.53,8.89,1.81,10.24,3.05,208.31,9.29,0.15,1.12
16.92,28.12,5.53,18.44,12.94,37.19,21.58,44.64,42.45,141.58,9.42,85.95,25.87,6.3,11.44,0.84,26.3,2.45,0.09,0.38,0.38,40.43,0.14,29.19,39.82,6.73,10.75,119.89,19.43,29.53,10.01,23.11,54.4,21.8,5.04,0.38,0.33,4.58,39.91,222.42,2.09,2.36,19.95,0.33,8.21,48.3,7.53,155.27,44.13,0.46,16.23,12.9,3.1,11.78,7.65,14.14,6.51,7.37,97.95,0.07,8.78,8.65,17.71,13.08,22.87,12.33,5.45,22.21,4.35,32.04,6.96,7.59,47.49,10.73,39.58,2.62,1.43,11.54,5.93,4.88,7.21,1.23,4.35,25.06,6.56,35,9.19,50.68,2.57,32.31,1.03,4.03,32.24,0.13,15.15,17.77,11.53,4.27,4.77,4.96,41.21,17.92,0.48,9.45,0.71,59.24,15.13,14.09,1.89,1.68,0.28,7.83,10.67,5.4,4.54,12.29,12.52,91.57,16.87,11.44,3.47,0.11,0.3,6.39,0.65,2.32,52.35,702.73,24.37,12.65,50.78,70.88,80.18,230.65,16.67,8.82,1.13,19.95,0.06,0.07,0.46,0.36,0.03,1.9,0,0,0.45,0.95,2.54,59.48,9.75,0.14,0.36,0.45,10.28,3.15,0.06,32.14,8.57,1.02,8.99,0.87,0.83,1.46,0.22,0.92
13.67,24.62,3.88,23.4,12.5,18.31,17.26,48.56,49.27,93.74,18.48,147.09,8.66,8.81,14.92,0.98,26.36,6.89,0.46,19.28,0.79,46.94,0.48,16.55,66.65,12.33,7.63,125.08,17.01,28.69,30.56,22.16,63.48,26.97,12.31,0.22,0.7,3.72,35.17,149.1,0.63,3.11,31.93,0.56,7.34,49.84,7.84,107.7,37.52,0.45,17.97,12.78,1.68,9.21,7.56,11.75,17.3,6.1,81.36,0.31,17.1,12.51,16.26,20.92,24.75,27.54,12.89,19.6,4.21,42.26,10.43,5.52,72.34,14.36,41.48,0.18,1.51,19,5.57,6.18,7.46,1.46,9.81,35.47,5.36,76.56,10.29,37.99,4.66,31.3,0.59,4.55,29.27,0.29,19.83,17,12.69,2.44,6.23,3.65,49.84,17.26,0.26,15.78,90.6,84.27,10.77,12.92,1.09,10.09,0.12,8.29,2.29,0.1,4.95,9.73,19.96,108.04,18.47,21.01,3.97,0.16,0.33,12.65,0.44,1.61,34.62,945.58,13.6,14.83,88.19,118.46,31.77,177.69,7.32,11.14,0.88,16.53,0.23,0.1,0.66,0.7,0.03,3.53,0,0,0.87,1.23,0.94,15.87,8.41,0,0.13,0.62,10.36,3.57,0.09,30.27,18.5,1.92,6.82,0.36,1.18,1.15,0.25,0.5
4.83,26.02,1.87,20.58,9.69,20.78,27.44,40.73,20.01,61.9,8.09,0.7,6.4,4.49,19.38,0.59,64.58,3.95,0,0.06,1.35,68.58,0.08,23.68,18.63,3.89,3.44,95.99,21.97,33.47,0.99,19.68,46,26.88,2.47,0.32,0.01,2.86,42.53,547.82,2.7,2.82,11.83,1.1,13.21,0.16,3.82,110.23,62.17,0.77,1.18,19.75,1.59,11.61,3.36,6.95,0.41,7.09,109.48,1.17,7.97,5.33,2.06,13.48,5.8,11.17,9.57,26.63,3,37.43,7.04,4.6,21.16,5.19,87.99,17.45,2.11,1.81,4.04,3.27,10.86,0.21,5.22,22.25,7.64,0.19,11.37,50.83,1.51,17.26,1.14,6.44,21.71,0.08,16.94,17.08,2.72,4.74,1.7,5.79,43.76,8.26,0.15,11.49,11.47,2.9,19.27,12.33,0.7,4.24,0.39,10.82,43.52,12.06,3.93,2.65,15.97,101.28,17.86,2.17,4.44,0,0.2,9.79,0.3,0.09,63.1,661.2,7.83,4.83,17.42,40.06,9.44,46.38,3.75,0.56,1.01,24.12,0.25,0,1.04,0.52,0,0.04,0.08,0,0.46,0.34,0.18,9.19,5.83,0,0.24,0,7.43,2.12,0.54,14.21,12.85,0.07,9.28,0.22,0.11,0.73,0.18,0.52
9.33,23.22,10.34,15.74,6.84,20.54,10.85,41.17,27.33,93.3,6.65,33.83,4.34,8.72,10.47,0.24,30.23,3.85,0.18,6.88,6.27,10.69,0.03,29.37,18.22,4.45,4.26,97.43,13.85,25.06,7.81,22.93,37.42,17.31,5.33,0.16,0.1,2.54,33.41,441.64,4.35,1.94,19.32,0.36,6.91,38.91,9.99,147.45,50.98,0.19,6.37,13.96,4.8,10.74,2.29,7.28,2.46,3.77,54.05,0.1,6.59,6.96,21.75,16.17,10.81,11.36,7.71,24.23,1.48,23.04,6.22,5.33,25.24,6.71,15.05,0.91,2.28,4.25,4.76,3.96,4.04,0.33,3.23,24.84,1.62,9.51,10.9,36.7,1.81,15.3,0.03,1.52,36.41,0.17,8.3,12.79,9.34,5.18,2.82,3.12,20.92,8.53,0.27,8.77,0.81,23.73,13.53,13.96,0.9,1.38,0.04,4.95,2.42,10,4.05,3.33,13.3,109.47,13.08,26.23,1.71,0,0.47,29.54,0.09,1.47,166.66,2260.62,6.29,28.66,131.13,151.46,29.84,169.48,14.14,10.32,0.57,20.18,0.11,0.13,0.36,0.41,0,2.03,0,0,0.21,0.52,2.64,61.4,4.37,0.13,0.44,0.43,13.64,1.97,0.11,14.14,9.1,2.13,11.36,0.51,0.41,0.96,0.09,0.68
