PatientID,SHROOM3,TMEM187,TRIM29
TCGA-FB-A4P5,-0.951,0.1199,-0.0296
TCGA-FB-A4P6,2.7879,-0.2053,-0.5493
TCGA-FB-A545,0.4232,-0.56,-0.2109
TCGA-FB-A5VM,-1.1686,0.3613,2.7656
TCGA-FB-A78T,0.5206,-0.6235,-0.8542
TCGA-FB-A7DR,-0.5553,-0.8127,-0.6388
TCGA-FB-AAPP,1.6106,0.2818,-1.0311
TCGA-FB-AAPQ,-0.8915,-1.328,-0.4994
TCGA-FB-AAPS,-1.1945,-0.2379,-0.3361
TCGA-FB-AAPU,3.2736,-0.4473,-0.6637
TCGA-FB-AAPY,0.2233,0.4535,-0.2002
TCGA-FB-AAPZ,0.0589,-1.1281,0.708
TCGA-FB-AAQ0,0.1139,-0.6539,-0.2576
TCGA-FB-AAQ1,0.344,-0.1413,1.9536
TCGA-FB-AAQ2,-0.1862,0.5382,3.5848
TCGA-FB-AAQ3,-0.0927,0.4625,0.4697
TCGA-FB-AAQ6,0.0671,-0.6732,-0.5638
TCGA-H6-8124,0.3439,0.0354,0.1368
TCGA-H6-A45N,-0.305,0.3605,-0.4494
TCGA-H8-A6C1,0.4896,-0.1651,-0.7139
TCGA-HV-A5A3,-0.3002,-1.4229,-0.1684
TCGA-HV-A5A4,0.1465,-0.8876,0.0482
TCGA-HV-A5A5,-0.1978,-0.1128,-0.8187
TCGA-HV-A5A6,-0.8927,-1.1382,-0.2057
TCGA-HV-A7OL,-0.4491,0.642,2.0315
TCGA-HV-A7OP,-1.1734,5.2475,-0.6208
TCGA-HV-AA8V,-0.8143,-0.2844,0.1329
TCGA-HV-AA8X,2.314,0.0316,1.4366
TCGA-HZ-7289,3.3369999999999997,1.1048,-0.795
TCGA-HZ-7918,0.0927,-1.2279,-1.0178
TCGA-HZ-7919,1.6307,-1.0273,0.8569
TCGA-HZ-7920,-0.7823,-1.6498,-0.9032
TCGA-HZ-7922,-0.503,-0.4079,-0.1493
TCGA-HZ-7923,-0.3058,-0.7788,-0.8487
TCGA-HZ-7924,2.0848,-1.014,-0.9173
TCGA-HZ-7925,0.0046,-0.7329,0.3949
TCGA-HZ-7926,2.5862,-1.2837,-0.379
TCGA-HZ-8001,-1.1659,0.2009,0.6659999999999999
TCGA-HZ-8002,0.3065,-1.1379,-0.9702
TCGA-HZ-8003,-0.8939,-1.0578,-0.7419
TCGA-HZ-8005,0.024,-0.8554,1.1113
TCGA-HZ-8315,0.6963,-0.563,0.128
TCGA-HZ-8317,-0.1558,-0.4021,-0.7997
TCGA-HZ-8519,-1.0731,-0.5063,-0.7672
TCGA-HZ-8636,0.7611,0.3401,0.3561
TCGA-HZ-8637,-0.5906,1.4771,-0.6089
TCGA-HZ-8638,1.5779,-0.1589,-0.7876
TCGA-HZ-A49G,-0.4567,-0.2739,0.0893
TCGA-HZ-A49H,-0.5772,0.3638,-0.9241
TCGA-HZ-A49I,0.5964,0.3808,0.2247
TCGA-HZ-A4BH,-0.8540000000000001,0.4172,2.3797
TCGA-HZ-A4BK,0.9535,0.6931,-0.6609999999999999
TCGA-HZ-A77O,-0.0603,1.1687,-0.2857
