"MAP3K14","KDM5D","ATP2C1","ARNTL2","RAB27B","DSG2","POLQ","LAMA3","DLX3","DMRT3","SEC61A2","TRO","PRR11","MAP2K7","ZNF324","ZNF671","EZR","KLHL22","UPB1","RIN3","SALL4","RSPO4","FERMT1","OIP5","CRTC1","AVL9","CDK6","MET","WASL","MTMR4","OSBP","SLC35F2","ZNF346","SMC4","DHCR24","APOA1","KIF14","TRIM67","TMEM175","LRP3","ACAP3","TOP2A","PUM1","MICAL1","ANP32B","UBL7","DEF8","RNF157","SEMA6C","C1QL2","EIF2A","NCEH1","C7orf50","MAL2","FAM83A","INCENP","MPZL2","EPS8","PTPN14","SLC6A1","RNF166","TUBBP5","U2AF1L4","RACGAP1","SCNN1D","FAM160A1","ITGA2","RAD21","HDX","REEP3","MYO5B","MLKL","NMD3","CKAP2L","PDCD6IP","ARMC10","ZNF296","PRPF8","KCTD13","MRPS22","RAB6A","CCDC57","ZNF404","ANAPC2","ZNF575","CLK3","GPC5","GIPC3","D2HGDH","SLC26A11","DDX60L","ZNF467","SIAH2","ZNF708","ANXA2","LCK","FAM43A","UBE2H","S100A16","FBF1","EVL","MIER1","OXCT2","SPRN","GPRIN2","ZBTB48","PCDHA1","SERPINB5","SYT3","LTC4S","HERC2P4","MIR155HG","RBM14","ASPRV1","TP53TG3B"
2.38,7.09,31.69,35.74,6.98,60.53,1.07,132.12,0.13,0.03,1,3.04,11.61,3.61,2.4,1.38,189.2,6.06,0.13,4.57,2.5,0,27.73,1.3,1.48,12.5,22.06,73.75,22.07,7.84,15.19,16.9,3.41,21.35,10.72,0.17,1.77,0.01,2.8,4.03,6.9,27.47,19.74,5.57,35.93,8.8,13.65,1.22,0.9,0,44.02,8.78,16.88,105.33,76.7,5.62,25.16,32.88,15.62,1.31,5.59,0.65,3.54,15.4,0.34,5.78,57.2,58.93,2.37,49.78,10.43,8.4,38.67,4.29,60.08,20.67,0.55,28.84,3.04,23.69,34.82,14.35,1.88,5.99,0.3,15.63,0,0.41,4.52,1.36,10.53,1.57,7.54,4.93,1244.77,1.56,4.99,35.26,94.19,1.71,17.01,17.29,0.13,0.05,1.89,3.66,0,28.63,0.03,0.62,2.59,0.86,12.28,0.3,0
1.63,23.83,19.09,2.5,1.09,57.24,1.11,57.43,0.01,0,2.16,0.15,8.6,3.7,1.92,2.66,111.71,4.56,0.04,2.26,0.44,0.01,3.95,1.87,5.03,13.94,5.65,38.13,11.83,12.7,13.26,6.95,5.81,22.95,40.06,0,2.18,0.08,4.86,10.86,5.04,14.94,19.26,7.05,21.64,12.07,9.67,1.55,0.39,0.01,74.9,5.35,7.09,31.64,0.02,4.02,2.65,15.67,5.19,0.14,2.51,1.98,2.42,13.94,0.15,8.13,21.86,28.72,0.09,18.65,35.7,4.73,35.86,3.08,29.64,19.29,0.37,28.81,2.67,19.58,30.9,16.12,0.66,3.41,0.23,21.95,0.01,0.13,5.59,4.71,0.98,1.37,6.82,3.57,567.51,0.26,1.02,19.44,1.28,1.23,7.31,14.68,0.05,0.01,0.02,4.62,0.05,0.22,0.1,0.35,2.55,0.13,8.82,0.18,0.03
3.26,2.79,28.01,63.77,5.17,26.98,6.77,51.92,0.09,0,3.16,1.52,18.42,10,2.03,0.59,100.92,3.7,2.54,4.47,5.19,0.52,14.63,1.67,4.48,18.78,16.12,50.78,8.79,17.18,11.15,7.76,3.24,59.75,10.28,4.12,4.47,0.02,10.45,1.98,15.09,27.01,24.69,18.31,10.71,6.03,18.73,3.24,0.63,0,49.05,4.45,13.03,68.62,12.71,11.45,13.32,190.96,11.02,0.44,4.88,0.65,5.27,7.89,0.29,15.86,68.61,50.89,0.41,20.1,14.85,11.87,21.74,4.23,40.63,12.53,0.41,33.97,10.54,11.96,20.08,60.92,1.35,5.72,0.15,42.5,0.23,0.11,14.11,8.11,24.28,2.02,5.9,6.48,774.52,32.68,1.91,20.09,100.51,4.68,5.68,9.64,0.41,0,3.6,6.63,0,14.5,0.02,0,1.66,0.19,14.64,0.25,0
4.15,11.03,35.25,3.65,17.92,92.4,0.47,21.1,0,0,2.26,0.73,1.77,6.72,3.23,7.18,100.09,4.36,0.64,3.08,1.55,0.02,0.39,1.01,2.74,14.88,2.35,46.72,20.91,5.36,24.97,1.75,3.51,18.14,17.89,10.31,0.56,0.05,7.02,13.11,2.96,5.72,17.28,7.15,23.52,6.13,8.36,1.15,0.42,0,57.27,6.93,18.21,49.63,0.09,3.96,46.36,33.32,7.27,0.12,4.26,2.13,4.7,4.49,0.26,4.57,6.39,47.19,1.94,21.34,16.65,3.64,32.52,1.08,27.1,26.23,0.74,33.49,2.58,24.96,40.48,9.34,1.06,4.07,0.21,11.83,1.04,0.27,5.11,2.35,4.9,1.64,11.83,10.72,186.42,7.26,2.42,31.99,20.21,1.36,24.17,14.75,0.14,0.05,0.58,3.44,0.04,0.11,0.08,1.4,0.19,0.87,8.1,0.24,0
3.17,13.46,25.16,11.03,0.46,44.3,0.86,99.93,0,0,1.99,1.3,2.78,3.4,2.74,2.68,202.39,4.1,0.41,3.06,1.82,0,6.74,1.12,2.23,18.67,18.73,33.31,23.82,8.98,16.71,6.82,3.93,17.76,33.9,1.92,2.37,0.01,5.13,4.17,4.87,18.38,28.47,8.83,24.55,7.12,11.11,1.92,1.07,0,43.42,17.13,29.93,102.88,1.85,9.76,13.37,35.71,8.9,0.48,5.42,0.74,3.67,6.04,0.18,7.43,46.17,56.76,0.85,19.34,13.2,5,31.96,2.67,48.25,19.35,1.19,34.92,5.15,17.26,46.74,12.16,0.55,4.79,0.18,11,0.18,0.57,4.58,3.52,12.72,0.96,10.82,7.82,407.31,17.11,4.5,27.24,69.2,1.15,18.41,22.88,0.48,0.08,1.91,4.04,0.02,16.58,0.2,0.94,1,0.8,10.84,0.27,0
2.57,3.41,40.16,60.58,3.72,72.68,0.93,317.82,0.05,0,2,1.54,8.96,4.6,1.47,0.54,164.26,7.41,0.28,3.3,1.2,0,5.22,0.85,1.79,19.27,267.32,54.29,9.22,8.25,19.65,23.94,5.36,14.93,20.09,0,1.16,0.01,4.3,0.84,5.02,9.53,21.07,4.57,43.51,6.72,16.67,0.56,0.3,0,45.95,11.43,18.16,19,44.19,3.76,93.93,28.49,14.07,0.39,4.11,0.33,1.91,6.96,0.19,8.63,152.85,74.5,3.28,26.83,4.39,21.13,33.81,1.48,36.84,15.88,0.6,26.38,3.88,19.89,31.81,12.25,0.46,4.39,0.13,16.49,0.96,0.28,4.65,2.29,36.36,1.5,8.62,2.5,1200.55,1.65,1.68,18.98,88.11,2,9.38,24.09,0.16,0.03,0.48,3.87,0,42.27,0,0,0.51,0.9,8.07,0.06,0.04
2.81,13.88,36.36,40.22,11.74,62.37,1.99,62.28,0.58,0,2.89,2.9,5.82,7.04,2.9,1.36,55.31,9.55,0.96,6.63,2.48,0.02,22.4,2.06,1.97,16.22,52.94,64.39,34.01,9.74,21.02,10.69,5.84,29.39,60.13,0.36,3.3,0.04,5.51,1.97,11.24,15.93,30.67,5.04,43.87,9.76,12.5,1.24,0.56,0.02,65.39,12.91,16.72,195.03,86.1,10.06,120.05,17.75,25.24,0.19,5.66,3.27,4.16,12.77,0.4,15.95,101.54,69.84,1.45,21.47,7.25,11.78,35.09,5.5,46.48,32.46,0.78,33.35,5.59,25.99,48.28,23.53,0.56,8.98,0.19,24.18,0.13,0.23,8.37,2.48,26.17,1.2,16.69,4.07,1480.92,1.36,3.77,77.22,110.84,3.3,12.11,21.45,0.36,0.08,0.3,6.56,0.04,72.57,0.3,1.41,3.76,0.75,12.34,0.3,0
5.32,0.05,33.01,16.32,16.16,73.25,4.05,10.87,0,0.02,3.29,2.44,6.04,5.77,2.88,1.35,67.89,7.41,0.75,6.2,2.02,0,17.24,2.85,2.29,24.27,28.61,20.83,22.98,9.79,15.98,0.94,3.43,41.61,24.16,5.49,4.03,0.03,7.39,2.42,8.3,34.13,29.19,11.44,32.77,5.23,12.56,1.6,0.74,0.02,28.28,12.05,19.79,176.84,0.24,12.35,4.18,33.18,5.8,0.53,5.13,0.68,3.93,11.52,0.18,14.08,22.73,109.58,0.78,14.63,31.07,6.97,22.22,4.55,64.61,20.32,0.89,34.73,9.77,13.03,30.66,24.51,0.48,11.08,0.48,12.71,0.01,0.53,7.55,3.99,15.19,0.82,10.23,8.45,225.04,1.73,1.29,22.51,51.49,4.64,11.77,24.98,1.79,0.04,2.68,7.98,0.02,38.72,0.13,0.65,5.15,0.45,17.59,0.42,0
2.12,0.04,38.56,13.73,22.93,180.87,1.41,68.03,0,0,2.13,0.74,4.28,5.32,2.66,0.94,99.86,5.27,0.27,4.93,1.04,0.03,8.93,2.59,2.15,15.4,7.3,50.32,24.97,10.23,19.16,6.01,4.89,20.42,23.1,0.88,1.31,0.01,7.21,1.15,5.08,11.93,19.7,4.16,19.21,6.81,9.33,0.87,0.5,0.02,35.5,14.32,20.94,128.18,0.56,7.31,57.25,40.13,6.85,0.55,2.92,1.17,3.46,8.75,0.3,3.67,24.12,51.84,1.5,23.16,21.02,5.73,29.9,1.74,67.24,23.16,0.65,23.87,4.52,13.68,35.92,19.18,1.08,3.63,0.27,12.86,0.38,0.18,5.67,1.59,17.91,0.5,9.05,5.19,731.78,0.77,1.95,21.36,40.58,2.25,7.12,21.35,0.17,0.09,3.43,5.97,0.02,15.71,0.06,0.64,0.49,0.18,8.19,0.58,0
1.69,0,16.86,0.69,0.28,12.24,1.42,2.54,0.04,0,2.2,0.65,3.82,3.81,2.44,0.84,46.45,3.09,0.06,0.14,0.14,0,0.9,4.76,1.03,5.53,2.25,8.79,8.04,4.29,8.86,5.59,6.27,10.74,29.34,0.15,1.73,0,4.64,0.49,3.55,33.83,19.49,3.56,11.97,17.54,13.4,0.52,0.28,0.02,34.12,7.4,20.57,17.52,0.8,7.86,0.89,14.21,14.46,0,4.52,0.13,5.48,15.76,0.52,0.03,13.91,27.03,0.71,7.25,0.03,3.06,16.29,3.48,16.92,11.76,0.55,27.21,3.05,25.29,18.59,19.61,0.27,7.88,0.19,15.14,0.01,0.02,4.1,5.42,1.6,1.16,4.15,0.26,585.71,0,0.88,13.57,23.07,3.14,1.82,3.94,0,0.01,4.87,3.15,0.02,0.04,0.03,0.17,0.2,0.09,17.67,0.07,0
2.71,0.14,52.96,13.23,17.94,103.87,2.43,52.96,0.02,0,3,2.17,7.04,3.62,3.19,1.82,117.01,3.87,0.31,7.14,3.32,0,14.83,1.69,1.1,21.17,13.68,53.94,32.96,5.86,24.22,7.71,3.07,40.24,64.89,15.44,2.58,0.02,5.92,4.68,11.7,30.68,35.49,6.05,41.61,9.24,13.6,4.08,0.6,0.02,54.37,15.62,25.76,115.02,4.6,16.28,18.89,37.37,7.75,0.51,4.67,2.37,4.3,17.07,0.55,12.17,30.91,75.79,1.18,40.9,34.59,6.21,35.6,6.37,58.62,24.3,0.42,31.99,3.83,20.53,62.24,12.62,1.07,6.03,0.1,18.83,0.21,0.56,6.12,2.79,17.16,4.37,11.4,4.75,497.74,5.06,3.76,46.38,71.91,1.41,9.48,25.75,0.45,0.06,3.55,5.75,0.03,38.79,0.32,0.66,2.21,0.56,12.1,0.33,0
3.28,0.1,43.33,12.06,18.08,38.66,1.18,71.25,0.03,0.05,2.44,3.82,2.66,4.26,4.4,2.21,107.13,6.04,0.3,5.6,1.8,0,13.3,1.39,2.46,16.4,13.33,40.33,28.51,8.38,16.7,8.35,4.64,23.32,28.18,3.28,0.85,0.01,6.22,3.9,5.82,9.88,28.22,8.35,27.35,8.98,12.34,2.06,0.73,0,38.05,9.34,17.75,102.93,1.25,5.79,43.29,52.72,10.22,0.85,8.06,0,4.36,6.13,0.27,4.55,36.64,44.67,2.4,36.8,14.89,9.97,31.05,1.12,71.79,25.81,0.47,31.76,3.86,17.59,43.86,19.31,2.4,6.84,0.49,15.53,0.18,0.67,6.76,2.72,15.94,1.08,11.29,7.73,924.59,3.13,1.77,30.61,56.91,2.61,17.49,32.27,0.42,0.25,2.04,7.52,0.01,24.06,0.12,1.65,0.58,0.85,13.28,0.47,0
2.49,12.38,34.54,12.38,18.96,71.42,0.77,72.67,0.08,0,1.89,4.36,4.63,4.31,2.9,2.63,212.57,5.84,0.27,5,2.56,0,12.72,0.79,1.52,20.32,15.26,43.06,28.51,8.28,17.35,7.86,3.17,20.33,37.81,0.79,1.86,0,4.11,5.98,4.8,15.16,22.2,13.86,23.43,6.27,11.77,1.08,0.76,0,44.74,16.66,19.31,89.79,18.05,6.99,64.44,43.78,12.48,0.42,4.55,1.46,3.34,7.9,0.35,9.28,89.85,51.6,1.97,39.98,16.54,9.73,34.49,2.19,76.99,25.95,0.07,39.59,3.62,17.42,54.39,14.65,1.71,4.83,0.12,14.65,0.05,0.61,5.64,2.58,12.79,2.88,9.25,5.59,833.35,3.76,2.39,40.07,117.9,1.4,17.39,28.14,0.22,0.11,1.81,3.54,0.02,67.85,0.11,0.5,1.82,0.76,10.45,0.37,0
3.05,0.14,58.54,33.08,4.38,27.74,4.77,50.67,0.19,0.02,2.48,3.99,5.95,7.03,3.29,3.21,150.17,10.56,0.2,3.95,10.86,0.05,11.8,4.27,1.61,20.36,21.35,42.94,24.47,7.21,22.43,5.77,6.12,48.92,23.64,0.12,3.53,0.02,3.43,7.79,10.19,35.77,29.62,8.81,31.9,6.51,14.18,1.95,0.85,0.05,58.64,14.99,20.68,157.43,0.82,6.8,31.64,78.97,10.01,0.4,5.59,1.63,3.65,13.75,1.55,5.22,102.33,91.87,2.04,42.36,24.74,6.14,42.88,6.34,76.55,29.79,0.8,30.96,5.24,26.13,31.51,17.24,3.14,6.22,0.39,13.77,0.1,0.35,8.38,2.17,13.59,1.18,9.57,7,724.77,2.34,3.36,34.16,68.14,3.09,17.09,21.41,0.79,0.06,2.75,7.88,0.07,11.43,0.25,0.32,4.65,0.99,13.96,0.32,0
3.84,0.16,47.08,11.36,14.36,105.17,1.72,26.86,0,0,1.42,1.8,5.07,6.63,3.35,1.68,183.5,4.4,0.18,5.54,1.04,0,15.65,2.36,2.15,22.43,8.66,46.85,49.68,6.9,19.73,13.51,4.29,28.94,28.92,10.46,2.11,0,4.53,5.06,5.83,21.49,32.5,9.2,35.18,10.97,9.03,4.31,0.81,0,55.33,9.44,18.68,121.58,1.64,8.37,51.55,55.21,5.57,0.81,6.35,1.93,2.38,12.11,0.56,2.3,36,77.74,1.73,34.29,19.3,8.5,32.81,2.65,70.86,32.25,1.39,32.91,3.66,18.36,48.68,17.76,2.81,7.96,0.63,21.42,0.68,0.8,5.73,2.48,20.82,1.49,13.62,8.71,782.19,3.33,1.34,47.47,68.05,2.71,13.05,29.08,0.28,0.22,2.22,8.13,0,29.64,0.23,1.17,0.13,1.06,12.33,0.17,0.07
2.33,9.37,67.39,6.91,36.29,171.4,1.18,85.91,0,0,1.65,1.4,2.62,12.75,3.13,1.43,280.45,3.32,0.11,4.21,0.95,0,28.66,1.5,1.49,17.61,16.95,38.41,34.29,7.03,19.05,15.73,4.27,23.82,88.46,3.38,1.44,0.02,4.55,4.04,4.39,17.09,31.44,8.79,17.78,10.34,15.88,6.6,1.07,0,53.55,11.7,17.01,132.66,22.96,6.57,27.64,48.39,7.9,0.64,3.7,1.4,2.99,11.45,0.39,4.42,91.88,70.23,1.81,76.49,53.15,5.53,40.61,1.31,51.58,29.07,0.24,24.06,2.09,33.53,76.17,7.22,0.97,5.59,0.14,15.51,0.14,0.88,3.04,2.32,10.56,2.23,14.22,5.1,1628.3,5.73,2.69,43.74,167.74,1.19,7.62,29.22,0.36,0.12,3.81,5.07,0.04,96.06,0.03,0.66,0.15,0.17,11.45,0.62,0
4.05,0.11,42.16,11.54,9.44,31.65,0.97,69,0.04,0,1.97,2.25,2.92,6.2,3.59,1.59,135.7,5.13,0.35,4.33,1.81,0.03,20.26,1.56,2.34,17.72,10.81,32.96,27.65,7.29,23.14,6.57,3.58,21.01,24.55,0.18,1.88,0.01,4.42,7.56,4.9,19.09,31.36,8.36,22.45,8.86,8.84,1.86,0.86,0,46.6,11.94,14.99,84.55,1.72,8.55,38.57,39.91,7.81,0.3,4.45,0.96,2.57,9.4,0.25,2.35,23.78,62.87,1.66,30.99,11.1,8.34,39,1.63,76.93,25.76,0.85,41.3,4.96,17.01,58.21,9.37,0.83,4.08,0.3,15.24,0.28,0.55,3.83,2.43,8.07,1.21,10.15,8.7,627.97,4.25,2.38,33.22,85.77,2.11,14.86,23.91,0.6,0.08,2.16,5.74,0.08,15.3,0.05,1.14,0.69,0.31,9.95,0.93,0
7.29,7.34,63.32,37.45,13.79,121.68,1.44,128.45,0.03,0,3,2.75,3.27,3.04,2.83,0.85,301.36,3.59,0.18,4.64,4.78,0,6.6,1.23,1.32,21.77,11.22,84.73,27.69,6.24,16.69,5.9,4.44,24.97,25.25,0.03,1.68,0,5.29,8.55,5.74,18.39,23.87,11.5,17.63,7.29,11.1,1.81,0.48,0.03,46.11,25.25,17.72,165.36,30.89,5.89,47.43,42.99,8.68,0.36,5.61,0.92,10.13,5.92,0.32,3.23,150.34,58.87,1.77,58.06,21.41,8.46,36.39,1.67,54.02,27.56,0.19,28.22,4.56,19.66,46.7,10.39,2.12,4.07,0.16,13.97,0.15,0.5,6.01,3.65,17.55,2.96,8.07,6.69,1342.28,2.13,1.51,53.66,150.88,1.25,15.22,21.48,0.23,0.11,2.74,4.37,0.01,94.21,0.04,2.07,0.87,0.44,9.43,0.22,0
3.4,7.55,53.56,13.05,11.37,103.83,0.93,83.71,0.02,0,1.88,3.68,2.69,3.49,2.8,1.72,148.38,5.33,0.27,4.39,2.94,0.02,21.25,1.17,1.52,16.87,18.22,45.32,27.08,10.29,21.12,11.11,4.19,17.81,20.13,0.29,1.07,0.01,4.95,4.65,4.11,10.94,23.45,8.32,30.72,8.42,12.15,1.99,0.47,0,47.74,12.64,21.32,80.86,11.59,6.2,73.29,51.22,9.81,1.05,4.44,1.33,2.47,7.61,0.35,6.22,42.01,51.24,2.36,35.84,16.71,12.56,34.15,1.77,77.82,27.92,0.47,33.03,3.43,19.86,53.41,11.36,2.57,5.84,0.33,18.46,0.26,0.35,5.52,2.02,18.83,1.26,9.07,7.13,1101.36,4.64,2.16,34.41,65.67,1.88,12.18,23.83,0.26,0.16,3.11,4.56,0.06,32.45,0.22,1.38,0.73,0.39,12.44,0.29,0
2.31,0.06,52.57,34.67,9.25,52.3,2,48.57,0.01,0.02,3.34,4.07,13.74,4.48,2.54,1.25,316.85,6.25,0.37,7.99,3.21,0.01,18.49,3.31,1.68,18.3,21.5,65.29,24.54,12.79,16.84,15.69,4.7,32.03,44.86,0,2.77,0.04,4.53,3.58,4.66,20.76,30.05,10.36,24.33,9.81,12.6,2.36,0.76,0,38.49,37.79,16.21,56.36,2.04,9.23,66.49,64.34,9.71,1.71,5.88,0.87,2.73,18.23,0.49,6.09,75.73,59.56,2.51,39.23,14.39,10.61,28.82,3.96,82.75,27.88,0.45,37.47,5.14,19.38,60.07,20.1,0.94,3.63,0.41,21.23,0.08,0.86,6.01,2.67,20.62,1,9.92,4.58,1429.57,1.54,2.54,38.58,62.96,3.46,16.67,24.24,0.41,0.13,2.6,3.85,0,18.12,0.06,1.2,0.79,0.3,9.61,0.6,0
4.35,11.85,41.31,18.12,3.74,40.73,1.75,17.97,0.09,0.06,4.32,3.48,3.79,5.37,2.26,1.98,126.66,6.87,0.38,7.08,1.52,0.05,12.58,0.49,1.83,12.68,6.21,124.57,27.87,10.85,18.43,4.53,5.1,32.76,12.69,0.03,2.27,0.03,5.6,3.57,4.88,13.29,25.92,9.92,46.7,6.57,10.75,4.93,1.55,0.03,48.65,14.62,17.19,16.57,0.66,8.04,33.13,35.62,17.07,1.95,7.65,1,3.89,6.56,0.39,0.79,26.83,67.68,2.61,24.87,10.15,19.18,31.48,2.3,53.97,21.48,0.84,37.92,4.76,15.44,42.92,16.84,1.76,7.42,0.27,17.15,0.07,1.04,3.12,2.91,21.75,2.16,11.62,7.65,537.72,9.35,3.08,48.28,55.73,2.73,38.64,24.27,0.22,0.01,0.18,4.25,0,1.42,0.08,0.56,0.63,1.29,13.71,0.51,0
3.07,9.34,46.39,21.89,2.68,24.31,1.24,67.78,0.1,0.11,1.68,7.57,3.57,4.16,1.67,1.37,80.97,5.76,0.18,5.1,3.64,0,3.88,0.8,1.72,11.87,10.17,99.99,27.26,8.73,13.65,4.95,4.6,24.06,32.21,0,0.89,0.01,5.05,4.37,4.5,9.57,29.27,8.02,27.11,6.42,8.83,1.24,0.69,0,37.45,23.81,17.33,69.93,2.13,4.67,37.38,40.2,19.58,1.26,5.88,0.51,4.09,8.14,0.47,5.58,36.4,47.76,2.55,27.72,5.18,6.9,30.35,1.59,47.46,27.04,0.22,34.87,3.42,12.87,44.41,17.04,2.14,3.78,0.4,19.9,0.06,0.5,5.94,2.06,7.22,1.52,8.89,7.45,1064.7,1.76,1.23,46.76,48.47,2.84,21.62,22.64,0.28,0.48,0.95,3.85,0.02,4.08,0.11,1.09,1.1,0.63,9.88,0.42,0
4.72,0.11,33.18,17.28,12.51,66.03,2.37,69.6,0.09,0,3.93,5.22,4.45,8.76,4.84,1.9,167.78,7.84,1.62,6.27,3.14,0.06,29.55,1.01,4.61,18.25,20.03,49.93,20.77,6.44,20.35,8.39,5.31,28.55,32.37,0.15,1.95,0.02,11.43,4.72,13.22,12.25,25.93,10.59,23.77,6.12,11.08,1.36,1.46,0,36.45,12.36,20.17,88.58,47.98,10.15,75.62,45.73,12.03,0.71,6.57,0,6.42,7.97,1.14,7.01,96.72,57.03,1.04,26.77,22.94,14.05,20.32,3.94,82.98,16.25,0.92,34.93,8.64,11.13,36.71,27.66,1.68,7.03,0.53,23.23,0.47,0.63,16.18,5.3,22.05,5.78,6.35,12.61,954.69,5.06,2.6,42.94,98.83,3.8,16.12,14.31,0.83,0.22,3.02,8.61,0.08,36.22,0.08,0.75,7.1,0.36,15.68,0.6,0
3.12,7.24,15,12.31,3.99,9.64,2.31,43.3,0.29,0,2.4,2.79,6.25,5.67,2.41,1.01,144.94,3.08,1.79,6.28,1.38,0,5.39,0.32,3.76,12.23,10.98,14.76,6.28,11.66,9.43,1.6,5.25,23.4,6.07,0.79,1.27,0,6.29,0.37,15.46,7.31,16.41,21.22,21.37,3.71,14.79,4.98,0.88,0,22.26,3.19,8.68,25.46,0.36,5.61,13.16,58.07,8.37,0.02,4.66,1.4,4.71,4.02,1.39,10.43,27.87,17.67,2.34,6.34,10.4,21.41,15.46,0.96,43.05,8.05,0.36,31.92,12.08,9.01,13.95,55.42,0.93,8.22,0.21,37.56,0.11,0.14,15.43,10.46,17.54,0.64,2.15,7.85,282.28,1.33,0.77,13.75,56.08,3.28,7.54,9.26,0.28,0.17,1.24,8.27,0.06,8.41,0.03,0.3,4.8,0.1,16.21,0.47,0
2.84,12.44,36.31,12.01,16.92,50.4,1.99,24.22,0.03,0.09,2.89,1.74,4.73,7.9,2.36,0.66,217.35,5.75,0.19,4.38,0.7,0,28.08,3.62,2.29,19.95,32.15,114.43,32.52,9.06,25.74,7.61,3.78,31.91,23.61,0.22,4.35,0.02,4.41,7.1,4.5,28.3,24.07,6.67,39.2,14.44,13.6,0.86,0.67,0,57.94,33.99,23.5,263.38,1.14,12.65,14.7,93.37,11.58,0.82,6.64,0,2.8,11.11,0.32,2.85,48.33,77.83,1.12,60.03,29.25,18.59,31.53,4.77,55.36,28.87,1.12,29.92,5.17,27.55,57.85,9.01,1.12,6.49,0.4,15.52,0.06,0.54,6.9,1.96,22.02,0.97,12.31,5.49,943.73,3.44,3.57,60.61,126,1.33,13.95,21,0.22,0.05,5.11,4.26,0,17.96,0.04,1,0.79,0.55,12.24,0.37,0.01
4.65,20.33,30.1,10.37,7.29,17.55,1.29,36.73,0.05,0.02,3.66,3.79,1.83,6.63,4.13,4.14,62.4,6.69,0.74,6.78,1.39,0.08,5.22,0.33,4.09,16.61,14.69,29.22,27.11,7.56,21.29,5.27,9.5,28.17,21.11,0.94,1.01,0.04,8.28,6.49,7.51,6.93,36.01,6.36,35.11,8.44,13.93,3.36,1.38,0,41.02,10.26,22,58.61,1.05,8.51,28.78,45.51,18.71,1.52,6.17,0.87,7.65,6.39,1.15,4.17,33.2,51.78,2.39,33.07,10.64,8.68,28.11,1.35,57.83,21.65,0.87,40.66,7.64,16.42,44.31,20.55,2.29,9.53,0.89,20.91,0.45,1.64,12.24,3.38,18.28,2.1,7.44,12.37,344.43,2.11,2.34,48.43,21.22,3.33,18.32,26.72,0.74,0.1,2.94,7.78,0.05,4.02,0.21,1.29,1.37,0.37,16.07,0.69,0.08
3.66,0.18,45.32,19.25,7.39,216.38,1.89,78.71,0.17,0.11,3.13,2.78,5.79,6.8,2.45,2.75,329.18,5.44,0.4,5.36,12.8,6.06,20.01,0.87,1.38,24.02,15,70.5,20.01,10.74,22.64,6.27,7.86,34.48,19.04,0,1.83,0.04,4.85,2.9,7.37,16.24,29.65,7.25,27.68,8.25,10.49,1.22,0.88,0,44.94,11.29,23.41,75.91,31.8,9.73,95.84,98.29,20.45,0.29,5.31,1.54,3.18,10.05,0.58,8.65,59.58,59.8,1.04,48.98,16.7,9.57,29.55,2.56,87.82,14.85,0.35,48.1,8.49,17.03,60.8,23.45,1.98,9.05,0.46,12.49,0,0.29,11.15,2.92,16.25,0.64,11.92,9.55,696.53,3.15,1.67,36.25,56.35,3.95,15.14,16.67,0.56,0.16,2.01,6.29,0.03,50.86,0.13,0.68,1.43,0.48,20.6,0.28,0
7.33,22.31,21.24,11.77,3.73,15.67,4.25,42.23,0,0,3.66,5.98,4.76,8.12,4.06,3.24,151.17,5.68,1.92,6.71,20.47,0.2,15.12,0.48,5.19,21.11,23.46,33.12,10.09,12,18.49,5.22,8.46,38.53,5.03,0.93,3.29,0.01,8.11,3.05,13.55,12.23,25.21,23.21,18.72,3.86,17.71,2.75,1.76,0,21.14,6.99,19.14,20,16.38,11.71,10.13,58.93,18.29,0.92,12.09,1.3,12.13,7.62,1.5,4.43,55.58,39.63,1.83,16.07,10.24,13.37,14.63,4.61,62.46,14.69,0.32,40.62,16.82,10.61,27.38,73.66,0.88,12.23,0.53,29.54,0.12,0.46,32.68,8.11,34.42,1.97,3.69,25.77,265.72,4.95,1.49,40.69,49.77,4.19,30.9,15.26,2,0.16,1.47,11.34,0,20.94,0.13,0.49,10.65,0.49,19.76,0.68,0
1.89,8.01,45.03,30.42,9.29,106.63,2.66,104.86,0.04,0.05,1.59,3.03,8.02,4.46,2.2,2.29,322.35,7.01,0.36,4.26,2.7,0.04,39.94,3.43,2.13,23.9,9.94,62.99,24.3,8.26,20.71,12.8,5.02,48.64,18.74,0,5.1,0.04,5.63,2.88,5.74,45.2,25.31,5.07,36.72,9.65,11.03,1.34,0.96,0.02,51.54,23.82,19.98,72.15,17.02,12.43,29.84,66.06,12.64,0.78,5.21,1.96,3.7,18.41,0.32,10.97,55.58,81.42,1.74,31.12,16.69,11.41,30.12,6.06,77.62,17.69,0.24,41.32,3.73,19.36,57.42,18.86,0.37,5.58,0.16,17.22,0.07,0.41,8.7,1.87,44.55,0.51,9.28,5.93,1124.31,4.75,4.36,31.73,106.91,2.13,17.77,18.24,0.23,0.04,1.09,6.24,0.01,47.39,0.08,0.72,1.49,0.45,13.72,0.24,0
