"EDC4","EIF2A","GUCY2C","ITGA2","LOC100129066","LOC728743","MED26","PCDHGB5","POT1","SAV1","SFRS17A","SH2B1","SLMAP","SNAI3","TCTE3","TIMM17A","TRIM67"
0.4682,0.3948,-0.2021,0.345,-0.5303,0.4019,-0.5589,-0.4863,2.668,-0.0068,-0.2023,0.7915,-0.5907,-0.3466,-0.1323,-0.6567,-0.2937
-0.4433,1.7146,-0.1931,0.5764,-0.3552,-0.2072,0.1732,3.4282,1.9417,-0.3724,-1.2971,0.6031,0.3965,-0.9449,0.1338,1.2376,-0.3614
-2.2882,0.019,-0.1333,-0.8561,-0.1231,0.7978,-0.86,-0.6413,0.7646,0.7882,-0.9922,-0.8404,-0.13,0.2015,-0.3678,1.0212,-0.0919
-0.534,1.5301,-0.1976,0.1791,0.0298,0.2939,0.0416,-0.4857,0.337,0.6165,-0.4048,9e-04,-0.5954,2.8189,-0.5849,1.2986,-0.2249
-0.419,1.0185,-0.2014,3.2156,-0.6496,-0.9517,-1.8729,2.9203,-0.0511,0.3309,0.034,-0.0153,0.1357,-0.8622,-0.1866,-0.248,-0.3267
0.8674,-0.8283,0.0348,0.1097,-0.2583,0.182,-0.1712,0.1432,-0.6796,-0.6426,0.6119,1.1012,-0.2641,0.369,-0.1275,-0.8969,-0.0549
0.5213,-0.4481,-0.1865,-0.4212,-0.186,0.1361,0.4083,-0.5731,-0.3786,0.1397,1.6776,0.8306,-0.6122,-0.0555,1.5593,0.4112,-0.0593
-0.0614,0.3203,-0.1981,3.3761,-0.2587,-0.7016,0.3777,-0.5626,0.4413,-0.1021,-0.5442,-0.3475,0.0783,-0.7344,0.4016,-0.716,-0.2559
-1.1708,-0.5559,-0.2024,0.1833,0.2492,-0.7051,0.4117,1.2609,-1.3167,-0.4004,0.8784,-0.0552,-0.0361,0.083,0.8361,-0.7876,-0.0083
0.3099,-0.9788,-0.1822,-0.1737,0.2057,-0.199,-0.0587,-0.496,-0.9859,0.4081,0.0638,0.358,-0.5242,-0.0242,0.03,-0.4149,-0.09
1.2131,-1.1919,-0.1447,0.417,0.3543,-0.4547,0.0224,-0.5791,-1.4191,4.2447,0.2855,0.2795,0.3682,-0.9749,0.7532,-0.6784,0.0592
1.1962,-1.4586,-0.1928,-0.9532,1.7704,1.1851,0.9713,-0.6376,-1.2626,-1.4211,0.0987,0.4549,-0.8601,0.9889,-0.4781,1.1149,-0.188
2.4492,0.8468,-0.2034,-1.3847,0.5119,7.9552,0.956,-0.6404,-1.1985,-2.4976,-1.553,-1.0991,-1.203,0.6536,2.0979,5.8938,1.5675
0.2742,-1.2925,-0.1978,-0.6116,-0.1421,0.5932,-0.172,0.7122,-1.1349,-0.5425,0.692,0.6895,-0.4632,-0.5246,-0.2804,-0.8248,0.0466
-0.2776,-0.2168,-0.1947,-0.1719,-0.5577,-0.2639,-0.3585,-0.6075,0.1435,0.8966,-0.3115,0.022,-0.8872,-0.6146,-1.1675,1.7568,-0.0583
-0.1941,0.1608,3.049,-0.1621,2.028,-1.0057,0.8265,-0.6315,0.8413,-0.2967,0.2172,-1.6871,0.1217,-1.1696,-1.6228,1.1447,-0.3221
-1.466,1.1349,-0.1956,-0.5403,-0.1516,-0.5794,-1.083,-0.2402,0.0154,-0.1313,-1.2804,-1.9066,-0.1101,-0.502,-1.341,-0.2503,-0.2219
-1.5775,-0.2294,-0.1973,2.424,-0.3309,-0.8709,-1.0817,-0.5518,1.2244,-0.3931,-1.1038,-1.4863,1.432,-0.9914,-1.045,0.276,-0.2532
-0.7433,0.2879,-0.2007,0.2471,2.1321,-0.7598,-0.9245,-0.3321,0.3509,-0.4428,-0.6972,-1.3924,-0.2692,-0.5959,-0.1881,-0.2855,-0.053
-1.6574,1.0853,-0.1955,1.5517,-0.3853,-0.9368,-2.1181,-0.3143,-0.256,2.3209,-1.5078,-1.8062,0.2129,-0.8979,-1.042,-0.4433,-0.0063
-0.6585,-0.6103,-0.1999,-0.6912,0.0072,0.1126,-0.4623,-0.2376,0.1938,0.5683,0.0296,0.0215,-0.3207,1.6195,0.6608,-1.2029,-0.1929
-0.1354,0.5691,1.2034,0.2385,-0.024,-0.4232,-0.9914,-0.074,-0.6035,-0.6763,-0.3687,-0.0593,1.126,-0.0372,-0.1522,-0.4705,-0.061
-1.6352,-0.3384,-0.1058,0.4514,-0.2871,-0.6989,-1.148,0.1019,-0.5554,1.6458,-1.2434,-1.4814,-0.3705,-0.5951,-1.2984,1.5974,-0.093
-0.3582,0.1852,-0.1954,5.1028,-0.7333,-1.1081,-0.9247,-0.2618,-0.4613,0.0088,-0.8533,-0.8356,1.7683,-0.3123,-0.8713,-0.1251,-0.2404
0.2839,0.1383,-0.2007,-0.9538,1.8427,0.4812,-0.052,-0.0914,0.7535,-1.0817,-0.5791,-0.0554,-0.0845,-0.2175,-0.2677,1.6539,-0.1692
-1.0888,0.0257,-0.1999,-0.2536,-0.5885,-0.5408,-1.2319,-0.1976,0.4103,0.1843,-0.6233,-0.9901,0.0786,-0.7443,-0.5374,-0.4688,-0.0963
-1.0518,0.9013,-0.1791,-0.8321,-0.4137,-0.6135,-1.149,-0.3057,-0.0266,1.0618,-0.4237,-0.5367,-0.2216,-0.3267,-0.1747,-0.6052,-0.1192
1.8163,2.3253,-0.2016,0.8771,-0.7333,-0.4576,-0.7611,-0.2021,2.5832,0.0527,-1.2974,-0.7164,0.4154,-0.6782,-0.7281,-0.895,-0.3647
-1.0996,-0.1251,-0.1925,0.5037,-0.3487,-0.0311,-1.6222,0.5519,-0.3268,0.2287,-0.4969,-0.7933,0.2113,-0.7397,0.2637,-0.5997,-0.0771
-1.2597,0.4785,-0.1475,-0.0933,-0.5262,-0.7168,-1.0846,3e-04,-0.3848,0.6186,-0.5671,-0.8237,0.7595,-0.7683,-0.6023,0.0421,-0.0616
-0.4519,-0.2939,-0.1926,-0.7313,0.0701,-0.7095,0.0669,-0.127,0.7343,0.1044,-0.4179,-0.2469,-0.4219,0.0073,1.9098,-0.1225,-0.1516
-0.3723,1.387,-0.195,1.5694,-0.0941,-0.8251,-1.4607,2.1323,0.7556,1.1497,-0.0591,-0.3889,0.4502,-0.3854,0.0932,-0.1261,-0.1474
-0.5263,-0.9714,-0.1087,-0.991,1.0232,0.3918,-0.2101,-0.4959,2.3566,-0.1117,0.073,-0.8654,-0.6443,1.0313,0.8836,0.1809,0.0887
-0.6314,-0.1045,-0.1778,-0.36,-0.6691,-0.0285,-0.8719,-0.2266,-0.4917,-0.0981,0.1256,0.3209,1.6339,-0.8401,0.4089,-0.0928,-0.2943
0.3299,-0.7359,-0.2019,-0.3687,-0.3999,0.2838,0.0816,0.2436,-0.0917,0.119,-0.0109,0.6388,-0.6096,0.3565,0.7159,-1.128,-0.1068
-0.4728,0.2504,-0.2023,-1.1036,-0.283,-0.1202,0.6745,-0.4388,0.022,-0.2424,0.0925,-0.6458,-0.3356,1.6668,-0.3467,-0.3381,-0.2635
0.9512,-0.4344,-0.2009,1.3639,-0.7333,-0.413,0.2887,-0.4058,0.1246,0.0964,1.552,1.2661,0.0507,0.8274,0.8426,-0.6737,-0.2291
-0.3859,-0.9167,-0.2018,0.2266,0.3393,-0.2196,1.0457,-0.5663,-0.3361,-0.2859,0.2789,0.1583,0.3574,-0.0947,-0.3942,-0.4084,-0.2517
1.6679,-0.4356,-0.1953,0.8708,-0.2435,0.0251,-0.3276,-0.3793,-1.2928,-0.3425,0.2983,1.5692,-0.5985,-0.1009,0.5488,-0.9501,-0.3442
0.3676,0.4132,-0.1994,-0.3443,-0.2834,-0.6723,0.9178,0.7174,-1.0766,-0.4751,-0.332,0.4798,-0.3358,-0.5802,-0.4804,0.8971,-0.2637
-0.2065,-0.8532,0.1342,-0.875,0.1236,0.4518,-0.2961,-0.3919,-0.7145,-0.6125,-0.2103,0.1984,4.9015,-0.3929,-0.3374,0.556,-0.2952
-0.199,-1.2988,-0.2033,-0.0884,-0.3752,-0.3192,-0.3127,-0.3113,-0.5143,0.3658,-0.228,-0.963,0.1786,0.1941,-0.7197,0.2237,-0.1792
0.3059,-0.5936,-0.1978,-0.5948,-0.4632,0.0931,0.1327,-0.5207,-1.5833,-0.5884,2.3889,0.8843,-0.3194,-0.3484,0.737,2.0801,-0.0423
0.6593,-0.9962,0.6282,-0.609,-0.3683,-0.3686,-0.413,-0.6076,-0.3792,-0.8954,0.924,-0.6459,-0.4384,-0.726,1.4234,1.0008,-0.1363
4.0903,1.7742,-0.1992,1.4498,-0.1515,-0.9949,1.3917,-0.5802,-0.2542,-0.7611,-0.8164,-0.1338,-0.1225,-0.7628,0.8147,1.3296,-0.1481
-1.4917,2.0096,-0.1554,0.5549,0.1392,-0.5908,-0.2817,0.3144,0.3546,0.8684,-0.6246,-0.3518,0.4887,-0.4554,-1.2469,-0.0213,-0.2976
-0.9181,-0.2563,-0.1906,1.2058,-0.2265,-0.7245,-1.1106,-0.3759,0.3978,1.0721,-0.6323,-1.2933,0.0129,-0.1803,-0.7948,0.4111,-0.2054
-2.3015,2.9244,-0.2021,3.0189,-0.7333,-1.1294,-1.5092,-0.3336,-0.2082,1.0621,-0.9907,-2.2187,1.664,-1.0747,-1.1955,2.8383,-0.3082
-1.4473,0.7154,0.1283,0.8939,0.7005,-0.9786,-1.4878,0.2189,-0.5739,-0.0962,-1.6533,-1.9278,-0.0651,-0.7747,-1.2398,1.0156,-0.238
-2.1162,0.6119,-0.1752,0.3208,0.0965,-0.7622,-1.2056,-0.1551,0.0262,1.0922,-1.6803,-1.8814,-0.0043,-0.6859,-1.1978,-0.7112,-0.2748
-1.4192,0.3923,-0.1133,2.3017,-0.5127,-0.7968,-0.6809,-0.3192,1.5779,-0.0173,-1.5998,-1.0549,-0.0775,0.2079,-0.8756,0.3545,-0.2139
-1.4288,0.1221,-0.2015,0.86,-0.5179,-0.3899,-0.9668,2.5449,1.0059,1.4529,-0.427,-0.7303,0.4869,0.1857,-0.8164,-0.5162,-0.0819
